task,record_id,episode,clean_anchor,clean_transport,prefix_a_anchor,prefix_a_transport,prefix_b_anchor,prefix_b_transport
cube,ap-anchor-transport-cube-000,7443,1,1,1,1,1,1
cube,ap-anchor-transport-cube-001,4325,0,0,0,0,0,0
cube,ap-anchor-transport-cube-002,4300,1,0,0,0,1,0
cube,ap-anchor-transport-cube-003,489,1,1,1,1,1,1
cube,ap-anchor-transport-cube-004,5687,1,1,1,1,0,0
cube,ap-anchor-transport-cube-005,4680,0,1,0,0,0,1
cube,ap-anchor-transport-cube-006,7647,0,0,1,0,0,0
cube,ap-anchor-transport-cube-007,6764,0,0,0,0,1,0
cube,ap-anchor-transport-cube-008,7971,1,1,1,0,1,1
cube,ap-anchor-transport-cube-009,812,0,0,0,0,0,0
cube,ap-anchor-transport-cube-010,859,1,1,0,0,1,1
cube,ap-anchor-transport-cube-011,2114,0,0,0,0,0,0
cube,ap-anchor-transport-cube-012,9056,1,1,1,1,0,0
cube,ap-anchor-transport-cube-013,7636,0,0,0,0,1,0
cube,ap-anchor-transport-cube-014,7753,0,0,0,0,0,0
cube,ap-anchor-transport-cube-015,6325,0,0,0,0,0,0
cube,ap-anchor-transport-cube-016,2751,1,1,1,1,1,1
cube,ap-anchor-transport-cube-017,9336,1,1,1,1,0,0
cube,ap-anchor-transport-cube-018,9072,0,0,0,0,0,0
cube,ap-anchor-transport-cube-019,7132,1,1,1,1,0,0
cube,ap-anchor-transport-cube-020,3852,0,0,0,0,0,0
cube,ap-anchor-transport-cube-021,4602,1,0,1,1,1,1
cube,ap-anchor-transport-cube-022,7626,0,0,0,0,0,0
cube,ap-anchor-transport-cube-023,570,0,1,0,1,0,0
cube,ap-anchor-transport-cube-024,1546,1,1,0,0,1,0
cube,ap-anchor-transport-cube-025,5546,0,0,0,0,0,0
cube,ap-anchor-transport-cube-026,6141,1,0,1,1,0,0
cube,ap-anchor-transport-cube-027,8028,0,0,0,0,0,0
cube,ap-anchor-transport-cube-028,9776,0,0,0,0,0,0
cube,ap-anchor-transport-cube-029,5696,1,1,1,1,1,1
cube,ap-anchor-transport-cube-030,2025,1,0,1,1,0,0
cube,ap-anchor-transport-cube-031,8424,1,1,1,1,1,1
cube,ap-anchor-transport-cube-032,7890,1,0,1,0,1,1
cube,ap-anchor-transport-cube-033,3029,0,0,0,0,1,0
