task,condition,arm,queries,successes,success_percent
cube,clean,anchor,128,64,50.0
cube,clean,transport,128,61,47.65625
cube,prefix_a,anchor,128,47,36.71875
cube,prefix_a,transport,128,42,32.8125
cube,prefix_b,anchor,128,41,32.03125
cube,prefix_b,transport,128,31,24.21875
pusht,clean,anchor,128,93,72.65625
pusht,clean,transport,128,81,63.28125
pusht,prefix_a,anchor,128,85,66.40625
pusht,prefix_a,transport,128,58,45.3125
pusht,prefix_b,anchor,128,89,69.53125
pusht,prefix_b,transport,128,59,46.09375
reacher,clean,anchor,128,98,76.5625
reacher,clean,transport,128,101,78.90625
reacher,prefix_a,anchor,128,92,71.875
reacher,prefix_a,transport,128,99,77.34375
reacher,prefix_b,anchor,128,92,71.875
reacher,prefix_b,transport,128,96,75.0
tworoom,clean,anchor,128,49,38.28125
tworoom,clean,transport,128,36,28.125
tworoom,prefix_a,anchor,128,48,37.5
tworoom,prefix_a,transport,128,35,27.34375
tworoom,prefix_b,anchor,128,46,35.9375
tworoom,prefix_b,transport,128,32,25.0
