task,condition,arm,n,primitive_steps_total,primitive_steps_mean_per_outcome,decisions_total,decisions_mean_per_outcome,predictor_calls_total,predictor_calls_mean_per_outcome,predictor_candidate_blocks_total,predictor_candidate_blocks_mean_per_outcome,elapsed_seconds_total,elapsed_seconds_mean_per_outcome
cube,clean,direct,128,7130,55.703125,1466,11.453125,0,0.0,0,0.0,456.2756757028401,3.564653716428438
cube,clean,ap_observed,128,8186,63.953125,1679,13.1171875,1679,13.1171875,13432,104.9375,594.5277708545327,4.644748209801037
cube,clean,ap_final,128,9367,73.1796875,1907,14.8984375,1907,14.8984375,15256,119.1875,661.7485911361873,5.169910868251463
cube,clean,gaussian_observed,128,11980,93.59375,2421,18.9140625,75051,586.3359375,21793842,170264.390625,1266.6155593805015,9.895434057660168
cube,clean,gaussian_final,128,17945,140.1953125,3592,28.0625,111352,869.9375,32335184,252618.625,1795.708544138819,14.028973001084523
cube,prefix_a,direct,128,12517,97.7890625,2529,19.7578125,0,0.0,0,0.0,824.3796343691647,6.440465893509099
cube,prefix_a,ap_observed,128,12581,98.2890625,2534,19.796875,2534,19.796875,20272,158.375,916.9919123854488,7.163999315511319
cube,prefix_a,ap_final,128,12885,100.6640625,2598,20.296875,2598,20.296875,20784,162.375,910.370201844722,7.112267201911891
cube,prefix_a,gaussian_observed,128,14674,114.640625,2951,23.0546875,91481,714.6953125,26564902,207538.296875,1541.1225160695612,12.040019656793447
cube,prefix_a,gaussian_final,128,18771,146.6484375,3755,29.3359375,116405,909.4140625,33802510,264082.109375,1877.8360369428992,14.6705940386164
cube,prefix_b,direct,128,11595,90.5859375,2347,18.3359375,0,0.0,0,0.0,770.8005636427552,6.021879403459025
cube,prefix_b,ap_observed,128,11979,93.5859375,2416,18.875,2416,18.875,19328,151.0,864.0455727539957,6.750356037140591
cube,prefix_b,ap_final,128,12189,95.2265625,2457,19.1953125,2457,19.1953125,19656,153.5625,851.5017196573317,6.652357184822904
cube,prefix_b,gaussian_observed,128,14583,113.9296875,2931,22.8984375,90861,709.8515625,26384862,206131.734375,1521.8189989421517,11.88921092923556
cube,prefix_b,gaussian_final,128,18639,145.6171875,3729,29.1328125,115599,903.1171875,33568458,262253.578125,1866.218533711508,14.579832294621156
pusht,clean,direct,128,26373,206.0390625,5303,41.4296875,0,0.0,0,0.0,354.61050723306835,2.7703945877583465
pusht,clean,ap_observed,128,23861,186.4140625,4800,37.5,4800,37.5,38400,300.0,479.47567545995116,3.7459037145308685
pusht,clean,ap_final,128,30732,240.09375,6157,48.1015625,6157,48.1015625,49256,384.8125,486.94674998149276,3.804271484230412
pusht,clean,gaussian_observed,128,23051,180.0859375,4637,36.2265625,143747,1123.0234375,41742274,326111.515625,1195.4278745800257,9.33928027015645
pusht,clean,gaussian_final,128,35087,274.1171875,7018,54.828125,217558,1699.671875,63176036,493562.78125,1622.3875611629337,12.67490282158542
pusht,prefix_a,direct,128,32351,252.7421875,6479,50.6171875,0,0.0,0,0.0,376.63487013429403,2.942459922924172
pusht,prefix_a,ap_observed,128,27451,214.4609375,5510,43.046875,5510,43.046875,44080,344.375,501.04183111153543,3.9143893055588705
pusht,prefix_a,ap_final,128,33189,259.2890625,6643,51.8984375,6643,51.8984375,53144,415.1875,512.045043155551,4.000351899652742
pusht,prefix_a,gaussian_observed,128,24074,188.078125,4840,37.8125,150040,1172.1875,43569680,340388.125,1234.4844627529383,9.64440986525733
pusht,prefix_a,gaussian_final,128,35047,273.8046875,7010,54.765625,217310,1697.734375,63104020,493000.15625,1640.2602529153228,12.81453322590096
pusht,prefix_b,direct,128,32812,256.34375,6570,51.328125,0,0.0,0,0.0,383.26774360984564,2.994279246951919
pusht,prefix_b,ap_observed,128,27422,214.234375,5506,43.015625,5506,43.015625,44048,344.125,500.3383951652795,3.908893712228746
pusht,prefix_b,ap_final,128,33369,260.6953125,6680,52.1875,6680,52.1875,53440,417.5,511.3311023879796,3.994774237406091
pusht,prefix_b,gaussian_observed,128,23841,186.2578125,4790,37.421875,148490,1160.078125,43119580,336871.71875,1193.4882660862058,9.324127078798483
pusht,prefix_b,gaussian_final,128,34771,271.6484375,6956,54.34375,215636,1684.65625,62617912,489202.4375,1595.56186491251,12.465327069628984
reacher,clean,direct,128,19340,151.09375,3921,30.6328125,0,0.0,0,0.0,403.23707086220384,3.1502896161109675
reacher,clean,ap_observed,128,18754,146.515625,3796,29.65625,3796,29.65625,30368,237.25,521.4822646360844,4.07408019246941
reacher,clean,ap_final,128,15834,123.703125,3217,25.1328125,3217,25.1328125,25736,201.0625,380.04758856259286,2.9691217856452568
reacher,clean,gaussian_observed,128,22819,178.2734375,4601,35.9453125,142631,1114.3046875,41418202,323579.703125,1315.2748245447874,10.275584566756152
reacher,clean,gaussian_final,128,28934,226.046875,5798,45.296875,179738,1404.203125,52193596,407762.46875,1485.3271542098373,11.604118392264354
reacher,prefix_a,direct,128,19011,148.5234375,3848,30.0625,0,0.0,0,0.0,384.7587236817926,3.005927528764005
reacher,prefix_a,ap_observed,128,18728,146.3125,3791,29.6171875,3791,29.6171875,30328,236.9375,507.2562350872904,3.9629393366194563
reacher,prefix_a,ap_final,128,15617,122.0078125,3164,24.71875,3164,24.71875,25312,197.75,368.7927207238972,2.881193130655447
reacher,prefix_a,gaussian_observed,128,21412,167.28125,4328,33.8125,134168,1048.1875,38960656,304380.125,1215.9852689299732,9.499884913515416
reacher,prefix_a,gaussian_final,128,30409,237.5703125,6090,47.578125,188790,1474.921875,54822180,428298.28125,1563.057983558625,12.211390496551758
reacher,prefix_b,direct,128,18496,144.5,3746,29.265625,0,0.0,0,0.0,377.8969245236367,2.9523197228409117
reacher,prefix_b,ap_observed,128,18730,146.328125,3792,29.625,3792,29.625,30336,237.0,509.63785229064524,3.981545721020666
reacher,prefix_b,ap_final,128,16717,130.6015625,3386,26.453125,3386,26.453125,27088,211.625,386.05087340436876,3.016022448471631
reacher,prefix_b,gaussian_observed,128,22725,177.5390625,4578,35.765625,141918,1108.734375,41211156,321962.15625,1294.8670071996748,10.11614849374746
reacher,prefix_b,gaussian_final,128,29977,234.1953125,6005,46.9140625,186155,1454.3359375,54057010,422320.390625,1564.1755537427962,12.220121513615595
tworoom,clean,direct,128,10579,82.6484375,2166,16.921875,0,0.0,0,0.0,77.60966554097831,0.6063255120388931
tworoom,clean,ap_observed,128,10774,84.171875,2210,17.265625,2210,17.265625,17680,138.125,143.44044503755867,1.1206284768559271
tworoom,clean,ap_final,128,12170,95.078125,2477,19.3515625,2477,19.3515625,19816,154.8125,132.15803631022573,1.0324846586736385
tworoom,clean,gaussian_observed,128,18569,145.0703125,3734,29.171875,115754,904.328125,33613468,262605.21875,780.9175173360854,6.1009181041881675
tworoom,clean,gaussian_final,128,25233,197.1328125,5047,39.4296875,156457,1222.3203125,45433094,354946.046875,1014.1458068024367,7.923014115644037
tworoom,prefix_a,direct,128,10458,81.703125,2139,16.7109375,0,0.0,0,0.0,77.64590395987034,0.606608624686487
tworoom,prefix_a,ap_observed,128,10627,83.0234375,2178,17.015625,2178,17.015625,17424,136.125,139.97348925471306,1.0935428848024458
tworoom,prefix_a,ap_final,128,12902,100.796875,2626,20.515625,2626,20.515625,21008,164.125,137.59237509034574,1.074940430393326
tworoom,prefix_a,gaussian_observed,128,19172,149.78125,3853,30.1015625,119443,933.1484375,34684706,270974.265625,803.5968072190881,6.278100056399126
tworoom,prefix_a,gaussian_final,128,25240,197.1875,5048,39.4375,156488,1222.5625,45442096,355016.375,1012.3732274156064,7.909165839184425
tworoom,prefix_b,direct,128,10563,82.5234375,2172,16.96875,0,0.0,0,0.0,78.21996289491653,0.6110934601165354
tworoom,prefix_b,ap_observed,128,10511,82.1171875,2159,16.8671875,2159,16.8671875,17272,134.9375,137.5366686489433,1.0745052238198696
tworoom,prefix_b,ap_final,128,12118,94.671875,2474,19.328125,2474,19.328125,19792,154.625,133.66955568641424,1.0442934038001113
tworoom,prefix_b,gaussian_observed,128,18319,143.1171875,3685,28.7890625,114235,892.4609375,33172370,259159.140625,761.9927545525134,5.953068394941511
tworoom,prefix_b,gaussian_final,128,25227,197.0859375,5046,39.421875,156426,1222.078125,45424092,354875.71875,1010.2329641804099,7.892445032659452
