condition,arm,task_weight,n_episode_clusters_per_task,success_percent,ci95_lower_percent,ci95_upper_percent
clean,direct,0.25,128,83.0078125,80.2734375,85.7421875
clean,ap_observed,0.25,128,83.7890625,80.859375,86.71875
clean,ap_final,0.25,128,66.9921875,63.671875,70.3125
clean,gaussian_observed,0.25,128,59.765625,55.6640625,63.8671875
clean,gaussian_final,0.25,128,9.1796875,6.8359375,11.5234375
prefix_a,direct,0.25,128,65.234375,62.5,67.96875
prefix_a,ap_observed,0.25,128,71.875,68.75,75.0
prefix_a,ap_final,0.25,128,56.640625,53.3203125,59.9609375
prefix_a,gaussian_observed,0.25,128,55.2734375,51.3671875,59.1796875
prefix_a,gaussian_final,0.25,128,7.03125,5.078125,9.1796875
prefix_b,direct,0.25,128,66.015625,63.28125,68.75
prefix_b,ap_observed,0.25,128,72.65625,69.3359375,75.78125
prefix_b,ap_final,0.25,128,58.7890625,55.6640625,61.9140625
prefix_b,gaussian_observed,0.25,128,54.8828125,50.78125,58.7890625
prefix_b,gaussian_final,0.25,128,7.8125,5.6640625,9.9609375
prefix_mean,direct,0.25,128,65.625,63.37890625,67.7734375
prefix_mean,ap_observed,0.25,128,72.265625,69.7265625,74.8046875
prefix_mean,ap_final,0.25,128,57.71484375,55.078125,60.3515625
prefix_mean,gaussian_observed,0.25,128,55.078125,51.66015625,58.49609375
prefix_mean,gaussian_final,0.25,128,7.421875,5.6640625,9.27734375
