task,condition,arm,n_episode_clusters,success_percent,ci95_lower_percent,ci95_upper_percent,interval
cube,clean,direct,128,82.03125,75.78125,88.28125,empirical episode-cluster percentile bootstrap
cube,clean,ap_observed,128,73.4375,65.625,81.25,empirical episode-cluster percentile bootstrap
cube,clean,ap_final,128,62.5,53.90625,71.09375,empirical episode-cluster percentile bootstrap
cube,clean,gaussian_observed,128,46.875,38.28125,55.46875,empirical episode-cluster percentile bootstrap
cube,clean,gaussian_final,128,7.03125,3.125,11.71875,empirical episode-cluster percentile bootstrap
cube,prefix_a,direct,128,44.53125,35.9375,53.125,empirical episode-cluster percentile bootstrap
cube,prefix_a,ap_observed,128,43.75,35.15625,52.34375,empirical episode-cluster percentile bootstrap
cube,prefix_a,ap_final,128,39.84375,31.25,48.4375,empirical episode-cluster percentile bootstrap
cube,prefix_a,gaussian_observed,128,29.6875,21.875,37.5,empirical episode-cluster percentile bootstrap
cube,prefix_a,gaussian_final,128,2.34375,0.0,5.46875,empirical episode-cluster percentile bootstrap
cube,prefix_b,direct,128,50.78125,42.1875,59.375,empirical episode-cluster percentile bootstrap
cube,prefix_b,ap_observed,128,47.65625,39.0625,56.25,empirical episode-cluster percentile bootstrap
cube,prefix_b,ap_final,128,43.75,35.15625,52.34375,empirical episode-cluster percentile bootstrap
cube,prefix_b,gaussian_observed,128,29.6875,21.875,37.5,empirical episode-cluster percentile bootstrap
cube,prefix_b,gaussian_final,128,3.125,0.78125,6.25,empirical episode-cluster percentile bootstrap
cube,prefix_mean,direct,128,47.65625,41.015625,54.296875,empirical episode-cluster percentile bootstrap
cube,prefix_mean,ap_observed,128,45.703125,38.671875,52.734375,empirical episode-cluster percentile bootstrap
cube,prefix_mean,ap_final,128,41.796875,35.15625,48.828125,empirical episode-cluster percentile bootstrap
cube,prefix_mean,gaussian_observed,128,29.6875,23.828125,35.9375,empirical episode-cluster percentile bootstrap
cube,prefix_mean,gaussian_final,128,2.734375,0.78125,5.46875,empirical episode-cluster percentile bootstrap
pusht,clean,direct,128,51.5625,42.96875,60.15625,empirical episode-cluster percentile bootstrap
pusht,clean,ap_observed,128,66.40625,58.59375,74.21875,empirical episode-cluster percentile bootstrap
pusht,clean,ap_final,128,25.78125,18.75,33.59375,empirical episode-cluster percentile bootstrap
pusht,clean,gaussian_observed,128,69.53125,60.9375,77.34375,empirical episode-cluster percentile bootstrap
pusht,clean,gaussian_final,128,2.34375,0.0,5.46875,empirical episode-cluster percentile bootstrap
pusht,prefix_a,direct,128,19.53125,12.5,26.5625,empirical episode-cluster percentile bootstrap
pusht,prefix_a,ap_observed,128,47.65625,39.0625,56.25,empirical episode-cluster percentile bootstrap
pusht,prefix_a,ap_final,128,13.28125,7.8125,19.53125,empirical episode-cluster percentile bootstrap
pusht,prefix_a,gaussian_observed,128,64.0625,55.46875,71.875,empirical episode-cluster percentile bootstrap
pusht,prefix_a,gaussian_final,128,2.34375,0.0,5.46875,empirical episode-cluster percentile bootstrap
pusht,prefix_b,direct,128,16.40625,10.15625,23.4375,empirical episode-cluster percentile bootstrap
pusht,prefix_b,ap_observed,128,47.65625,39.0625,56.25,empirical episode-cluster percentile bootstrap
pusht,prefix_b,ap_final,128,12.5,7.03125,18.75,empirical episode-cluster percentile bootstrap
pusht,prefix_b,gaussian_observed,128,65.625,57.03125,73.4375,empirical episode-cluster percentile bootstrap
pusht,prefix_b,gaussian_final,128,3.125,0.78125,6.25,empirical episode-cluster percentile bootstrap
pusht,prefix_mean,direct,128,17.96875,12.890625,23.4375,empirical episode-cluster percentile bootstrap
pusht,prefix_mean,ap_observed,128,47.65625,41.015625,54.6875,empirical episode-cluster percentile bootstrap
pusht,prefix_mean,ap_final,128,12.890625,8.59375,17.578125,empirical episode-cluster percentile bootstrap
pusht,prefix_mean,gaussian_observed,128,64.84375,57.421875,72.265625,empirical episode-cluster percentile bootstrap
pusht,prefix_mean,gaussian_final,128,2.734375,0.78125,5.46875,empirical episode-cluster percentile bootstrap
reacher,clean,direct,128,99.21875,97.65625,100.0,empirical episode-cluster percentile bootstrap
reacher,clean,ap_observed,128,96.875,93.75,99.21875,empirical episode-cluster percentile bootstrap
reacher,clean,ap_final,128,90.625,85.15625,95.3125,empirical episode-cluster percentile bootstrap
reacher,clean,gaussian_observed,128,75.78125,67.96875,82.8125,empirical episode-cluster percentile bootstrap
reacher,clean,gaussian_final,128,25.78125,18.75,33.59375,empirical episode-cluster percentile bootstrap
reacher,prefix_a,direct,128,96.875,93.75,99.21875,empirical episode-cluster percentile bootstrap
reacher,prefix_a,ap_observed,128,96.09375,92.1875,99.21875,empirical episode-cluster percentile bootstrap
reacher,prefix_a,ap_final,128,88.28125,82.8125,93.75,empirical episode-cluster percentile bootstrap
reacher,prefix_a,gaussian_observed,128,82.8125,76.5625,89.0625,empirical episode-cluster percentile bootstrap
reacher,prefix_a,gaussian_final,128,21.875,14.84375,29.6875,empirical episode-cluster percentile bootstrap
reacher,prefix_b,direct,128,96.875,93.75,99.21875,empirical episode-cluster percentile bootstrap
reacher,prefix_b,ap_observed,128,95.3125,91.40625,98.4375,empirical episode-cluster percentile bootstrap
reacher,prefix_b,ap_final,128,86.71875,80.46875,92.1875,empirical episode-cluster percentile bootstrap
reacher,prefix_b,gaussian_observed,128,75.0,67.1875,82.03125,empirical episode-cluster percentile bootstrap
reacher,prefix_b,gaussian_final,128,23.4375,16.40625,30.46875,empirical episode-cluster percentile bootstrap
reacher,prefix_mean,direct,128,96.875,94.140625,99.21875,empirical episode-cluster percentile bootstrap
reacher,prefix_mean,ap_observed,128,95.703125,92.578125,98.4375,empirical episode-cluster percentile bootstrap
reacher,prefix_mean,ap_final,128,87.5,82.421875,92.1875,empirical episode-cluster percentile bootstrap
reacher,prefix_mean,gaussian_observed,128,78.90625,73.046875,84.765625,empirical episode-cluster percentile bootstrap
reacher,prefix_mean,gaussian_final,128,22.65625,16.796875,29.296875,empirical episode-cluster percentile bootstrap
tworoom,clean,direct,128,99.21875,97.65625,100.0,empirical episode-cluster percentile bootstrap
tworoom,clean,ap_observed,128,98.4375,96.09375,100.0,empirical episode-cluster percentile bootstrap
tworoom,clean,ap_final,128,89.0625,83.59375,93.75,empirical episode-cluster percentile bootstrap
tworoom,clean,gaussian_observed,128,46.875,38.28125,55.46875,empirical episode-cluster percentile bootstrap
tworoom,clean,gaussian_final,128,1.5625,0.0,3.90625,empirical episode-cluster percentile bootstrap
tworoom,prefix_a,direct,128,100.0,100.0,100.0,empirical episode-cluster percentile bootstrap
tworoom,prefix_a,ap_observed,128,100.0,100.0,100.0,empirical episode-cluster percentile bootstrap
tworoom,prefix_a,ap_final,128,85.15625,78.90625,90.625,empirical episode-cluster percentile bootstrap
tworoom,prefix_a,gaussian_observed,128,44.53125,35.9375,53.125,empirical episode-cluster percentile bootstrap
tworoom,prefix_a,gaussian_final,128,1.5625,0.0,3.90625,empirical episode-cluster percentile bootstrap
tworoom,prefix_b,direct,128,100.0,100.0,100.0,empirical episode-cluster percentile bootstrap
tworoom,prefix_b,ap_observed,128,100.0,100.0,100.0,empirical episode-cluster percentile bootstrap
tworoom,prefix_b,ap_final,128,92.1875,87.5,96.875,empirical episode-cluster percentile bootstrap
tworoom,prefix_b,gaussian_observed,128,49.21875,40.625,57.8125,empirical episode-cluster percentile bootstrap
tworoom,prefix_b,gaussian_final,128,1.5625,0.0,3.90625,empirical episode-cluster percentile bootstrap
tworoom,prefix_mean,direct,128,100.0,100.0,100.0,empirical episode-cluster percentile bootstrap
tworoom,prefix_mean,ap_observed,128,100.0,100.0,100.0,empirical episode-cluster percentile bootstrap
tworoom,prefix_mean,ap_final,128,88.671875,84.375,92.578125,empirical episode-cluster percentile bootstrap
tworoom,prefix_mean,gaussian_observed,128,46.875,39.0625,54.6875,empirical episode-cluster percentile bootstrap
tworoom,prefix_mean,gaussian_final,128,1.5625,0.0,3.515625,empirical episode-cluster percentile bootstrap
