task,condition,left,right,n_episode_clusters,difference_pp,ci95_lower_pp,ci95_upper_pp
cube,clean,ap_observed,ap_final,128,10.9375,4.6875,17.96875
cube,clean,gaussian_observed,gaussian_final,128,39.84375,31.25,48.4375
cube,clean,ap_observed,direct,128,-8.59375,-14.84375,-2.34375
cube,prefix_a,ap_observed,ap_final,128,3.90625,-0.78125,8.59375
cube,prefix_a,gaussian_observed,gaussian_final,128,27.34375,19.53125,35.15625
cube,prefix_a,ap_observed,direct,128,-0.78125,-3.90625,2.34375
cube,prefix_b,ap_observed,ap_final,128,3.90625,0.0,7.8125
cube,prefix_b,gaussian_observed,gaussian_final,128,26.5625,18.75,34.375
cube,prefix_b,ap_observed,direct,128,-3.125,-7.03125,0.0
cube,prefix_mean,ap_observed,ap_final,128,3.90625,0.78125,7.03125
cube,prefix_mean,gaussian_observed,gaussian_final,128,26.953125,21.09375,33.203125
cube,prefix_mean,ap_observed,direct,128,-1.953125,-4.296875,0.390625
pusht,clean,ap_observed,ap_final,128,40.625,31.25,50.0
pusht,clean,gaussian_observed,gaussian_final,128,67.1875,58.59375,75.78125
pusht,clean,ap_observed,direct,128,14.84375,6.25,23.4375
pusht,prefix_a,ap_observed,ap_final,128,34.375,25.0,43.75
pusht,prefix_a,gaussian_observed,gaussian_final,128,61.71875,53.125,70.3125
pusht,prefix_a,ap_observed,direct,128,28.125,19.53125,37.5
pusht,prefix_b,ap_observed,ap_final,128,35.15625,25.0,44.53125
pusht,prefix_b,gaussian_observed,gaussian_final,128,62.5,53.125,71.875
pusht,prefix_b,ap_observed,direct,128,31.25,21.875,40.625
pusht,prefix_mean,ap_observed,ap_final,128,34.765625,27.34375,42.1875
pusht,prefix_mean,gaussian_observed,gaussian_final,128,62.109375,53.90625,69.921875
pusht,prefix_mean,ap_observed,direct,128,29.6875,22.65625,36.71875
reacher,clean,ap_observed,ap_final,128,6.25,1.5625,11.71875
reacher,clean,gaussian_observed,gaussian_final,128,50.0,40.625,59.375
reacher,clean,ap_observed,direct,128,-2.34375,-5.46875,0.0
reacher,prefix_a,ap_observed,ap_final,128,7.8125,2.34375,14.0625
reacher,prefix_a,gaussian_observed,gaussian_final,128,60.9375,51.5625,69.53125
reacher,prefix_a,ap_observed,direct,128,-0.78125,-2.34375,0.0
reacher,prefix_b,ap_observed,ap_final,128,8.59375,3.125,14.84375
reacher,prefix_b,gaussian_observed,gaussian_final,128,51.5625,41.40625,60.957031249999716
reacher,prefix_b,ap_observed,direct,128,-1.5625,-4.6875,1.5625
reacher,prefix_mean,ap_observed,ap_final,128,8.203125,3.515625,12.890625
reacher,prefix_mean,gaussian_observed,gaussian_final,128,56.25,48.828125,63.671875
reacher,prefix_mean,ap_observed,direct,128,-1.171875,-3.125,0.390625
tworoom,clean,ap_observed,ap_final,128,9.375,3.90625,15.625
tworoom,clean,gaussian_observed,gaussian_final,128,45.3125,36.71875,53.90625
tworoom,clean,ap_observed,direct,128,-0.78125,-2.34375,0.0
tworoom,prefix_a,ap_observed,ap_final,128,14.84375,9.375,21.09375
tworoom,prefix_a,gaussian_observed,gaussian_final,128,42.96875,34.375,51.5625
tworoom,prefix_a,ap_observed,direct,128,0.0,0.0,0.0
tworoom,prefix_b,ap_observed,ap_final,128,7.8125,3.125,12.5
tworoom,prefix_b,gaussian_observed,gaussian_final,128,47.65625,39.0625,56.25
tworoom,prefix_b,ap_observed,direct,128,0.0,0.0,0.0
tworoom,prefix_mean,ap_observed,ap_final,128,11.328125,7.421875,15.625
tworoom,prefix_mean,gaussian_observed,gaussian_final,128,45.3125,37.5,53.125
tworoom,prefix_mean,ap_observed,direct,128,0.0,0.0,0.0
