task,arm,kind,start,config_H,config_arm,stall_W5_numerator,stall_W5_denominator,stall_W5_percent,stall_W10_numerator,stall_W10_denominator,stall_W10_percent,stall_W20_numerator,stall_W20_denominator,stall_W20_percent,physical_detour_0.25_numerator,physical_detour_0.25_denominator,physical_detour_0.25_percent,physical_detour_0.5_numerator,physical_detour_0.5_denominator,physical_detour_0.5_percent,physical_detour_1.0_numerator,physical_detour_1.0_denominator,physical_detour_1.0_percent,latent_detour_numerator,latent_detour_denominator,latent_detour_percent,config_B,config_iterations,config_memory_fraction,config_target_L,config_key,config_span,config_execution
cube,cem_final,main,Standard,150,cem_final,119,119,100,119,119,100,119,119,100,4,8,50,3,8,37.5,3,8,37.5,2,8,25,,,,,,,
cube,cem_final,main,Perturbed,150,cem_final,249,249,100,249,249,100,248,249,99.59839357429719,2,5,40,2,5,40,1,5,20,1,5,20,,,,,,,
cube,cem_final,main,Perturbed 1,150,cem_final,125,125,100,125,125,100,125,125,100,1,2,50,1,2,50,0,2,0,0,2,0,,,,,,,
cube,cem_final,main,Perturbed 2,150,cem_final,124,124,100,124,124,100,123,124,99.19354838709677,1,3,33.333333333333336,1,3,33.333333333333336,1,3,33.333333333333336,1,3,33.333333333333336,,,,,,,
cube,cem_observed,main,Standard,150,cem_observed,62,68,91.17647058823529,59,68,86.76470588235294,50,68,73.52941176470588,43,59,72.88135593220339,39,59,66.10169491525424,34,59,57.6271186440678,19,59,32.20338983050848,,,,,,,
cube,cem_observed,main,Perturbed,150,cem_observed,177,180,98.33333333333333,166,180,92.22222222222223,144,180,80,56,74,75.67567567567568,54,74,72.97297297297297,46,74,62.16216216216216,27,74,36.486486486486484,,,,,,,
cube,cem_observed,main,Perturbed 1,150,cem_observed,88,90,97.77777777777777,84,90,93.33333333333333,70,90,77.77777777777777,28,37,75.67567567567568,26,37,70.27027027027027,21,37,56.75675675675676,17,37,45.945945945945944,,,,,,,
cube,cem_observed,main,Perturbed 2,150,cem_observed,89,90,98.88888888888889,82,90,91.11111111111111,74,90,82.22222222222223,28,37,75.67567567567568,28,37,75.67567567567568,25,37,67.56756756756756,10,37,27.027027027027028,,,,,,,
cube,rank_final,main,Standard,150,rank_final,46,48,95.83333333333333,45,48,93.75,42,48,87.5,51,79,64.55696202531645,44,79,55.69620253164557,33,79,41.77215189873418,10,79,12.658227848101266,,,,,,,
cube,rank_final,main,Perturbed,150,rank_final,149,149,100,148,149,99.32885906040268,140,149,93.95973154362416,75,105,71.42857142857143,64,105,60.95238095238095,51,105,48.57142857142857,10,105,9.523809523809524,,,,,,,
