task,start,complete,assigned,completed,eligible_starts,eligible_queries,eight_candidates_per_start,predictor_error,displacement_error,predictor_regret,displacement_regret,direct_regret
cube,Standard,true,128,128,127,127,true,7.537740672432531,35.34436051019534,5.331972811165757,7.535081279559399,11.375001522499746
cube,Perturbed,true,256,256,254,127,true,37.72555127528709,66.86044605557375,8.471504787995121,11.731262209847218,14.903261451505301
cube,Perturbed 1,true,128,128,127,127,true,37.06729478958085,63.761601638606216,8.992158113032813,10.701786745251633,14.159245649191337
cube,Perturbed 2,true,128,128,127,127,true,38.38380776099333,69.95929047254127,7.950851462957427,12.760737674442803,15.647277253819263
pusht,Standard,true,128,128,128,128,true,1.5317003002855927,3.077519415965071,0.19953354791505262,0.5802577099530026,0.8490996928885579
pusht,Perturbed,true,256,256,256,128,true,2.9802147971931845,9.561666674242588,0.753201103390893,2.4180685538158286,4.448761971172644
pusht,Perturbed 1,true,128,128,128,128,true,3.1274622911587358,8.340259241056629,0.9555134345428087,2.907732142310124,4.612075832730625
pusht,Perturbed 2,true,128,128,128,128,true,2.8329673032276332,10.783074107428547,0.5508887722389773,1.9284049653215334,4.285448109614663
reacher,Standard,true,128,128,125,125,true,25.242860748291015,51.91717817687988,8.64444529724121,15.058296806335449,18.64010460662842
reacher,Perturbed,true,256,256,250,127,true,25.587028233085093,50.862009348831776,7.4009848091546,12.558347589387669,16.29621354801448
reacher,Perturbed 1,true,128,128,125,125,true,25.56242389678955,51.087492416381835,8.661866607666015,11.105482757568359,13.77147477722168
reacher,Perturbed 2,true,128,128,125,125,true,25.24639055633545,50.14702436828613,5.900402725219727,13.72867268371582,18.658024291992188
tworoom,Standard,true,128,128,128,128,true,13.55955857038498,162.03548105061054,1.4328413370531052,29.837521049543284,41.74893808492925
tworoom,Perturbed,true,256,256,256,128,true,12.531635198742151,160.49670455604792,1.2827705207455438,20.153618210490094,37.30703450695728
tworoom,Perturbed 1,true,128,128,128,128,true,12.59045147895813,160.99293620884418,0.9953681179322302,24.173474708222784,32.82828466233332
tworoom,Perturbed 2,true,128,128,128,128,true,12.472818918526173,160.00047290325165,1.5701729235588573,16.133761712757405,41.78578435158124
