task,start,selector,complete,assigned,completed,success_percent
cube,Standard,Direct,true,128,128,82.03125
cube,Standard,Predictor-Final,true,128,128,67.1875
cube,Standard,Predictor-Observed,true,128,128,78.90625
cube,Standard,Predictor-Learned,true,128,128,85.9375
cube,Standard,Simulator-Final,true,128,128,73.4375
cube,Standard,Simulator-Observed,true,128,128,80.46875
cube,Standard,Simulator-Learned,true,128,128,86.71875
cube,Standard,Displacement-Observed,true,128,128,78.125
cube,Perturbed,Direct,true,256,256,47.65625
cube,Perturbed,Predictor-Final,true,256,256,42.96875
cube,Perturbed,Predictor-Observed,true,256,256,47.265625
cube,Perturbed,Predictor-Learned,true,256,256,48.828125
cube,Perturbed,Simulator-Final,true,256,256,44.53125
cube,Perturbed,Simulator-Observed,true,256,256,48.828125
cube,Perturbed,Simulator-Learned,true,256,256,49.21875
cube,Perturbed,Displacement-Observed,true,256,256,48.4375
cube,Perturbed 1,Direct,true,128,128,44.53125
cube,Perturbed 1,Predictor-Final,true,128,128,39.84375
cube,Perturbed 1,Predictor-Observed,true,128,128,45.3125
cube,Perturbed 1,Predictor-Learned,true,128,128,48.4375
cube,Perturbed 1,Simulator-Final,true,128,128,42.96875
cube,Perturbed 1,Simulator-Observed,true,128,128,45.3125
cube,Perturbed 1,Simulator-Learned,true,128,128,47.65625
cube,Perturbed 1,Displacement-Observed,true,128,128,46.875
cube,Perturbed 2,Direct,true,128,128,50.78125
cube,Perturbed 2,Predictor-Final,true,128,128,46.09375
cube,Perturbed 2,Predictor-Observed,true,128,128,49.21875
cube,Perturbed 2,Predictor-Learned,true,128,128,49.21875
cube,Perturbed 2,Simulator-Final,true,128,128,46.09375
cube,Perturbed 2,Simulator-Observed,true,128,128,52.34375
cube,Perturbed 2,Simulator-Learned,true,128,128,50.78125
cube,Perturbed 2,Displacement-Observed,true,128,128,50
pusht,Standard,Direct,true,128,128,51.5625
pusht,Standard,Predictor-Final,true,128,128,39.0625
pusht,Standard,Predictor-Observed,true,128,128,53.125
pusht,Standard,Predictor-Learned,true,128,128,45.3125
pusht,Standard,Simulator-Final,true,128,128,42.96875
pusht,Standard,Simulator-Observed,true,128,128,53.90625
pusht,Standard,Simulator-Learned,true,128,128,42.1875
pusht,Standard,Displacement-Observed,true,128,128,50.78125
pusht,Perturbed,Direct,true,256,256,17.96875
pusht,Perturbed,Predictor-Final,true,256,256,18.359375
pusht,Perturbed,Predictor-Observed,true,256,256,22.265625
pusht,Perturbed,Predictor-Learned,true,256,256,18.75
pusht,Perturbed,Simulator-Final,true,256,256,19.140625
pusht,Perturbed,Simulator-Observed,true,256,256,23.828125
pusht,Perturbed,Simulator-Learned,true,256,256,22.265625
pusht,Perturbed,Displacement-Observed,true,256,256,23.046875
pusht,Perturbed 1,Direct,true,128,128,19.53125
pusht,Perturbed 1,Predictor-Final,true,128,128,18.75
pusht,Perturbed 1,Predictor-Observed,true,128,128,24.21875
pusht,Perturbed 1,Predictor-Learned,true,128,128,19.53125
pusht,Perturbed 1,Simulator-Final,true,128,128,18.75
pusht,Perturbed 1,Simulator-Observed,true,128,128,21.875
pusht,Perturbed 1,Simulator-Learned,true,128,128,22.65625
pusht,Perturbed 1,Displacement-Observed,true,128,128,22.65625
pusht,Perturbed 2,Direct,true,128,128,16.40625
pusht,Perturbed 2,Predictor-Final,true,128,128,17.96875
pusht,Perturbed 2,Predictor-Observed,true,128,128,20.3125
pusht,Perturbed 2,Predictor-Learned,true,128,128,17.96875
pusht,Perturbed 2,Simulator-Final,true,128,128,19.53125
pusht,Perturbed 2,Simulator-Observed,true,128,128,25.78125
pusht,Perturbed 2,Simulator-Learned,true,128,128,21.875
pusht,Perturbed 2,Displacement-Observed,true,128,128,23.4375
reacher,Standard,Direct,true,128,128,99.21875
reacher,Standard,Predictor-Final,true,128,128,96.09375
reacher,Standard,Predictor-Observed,true,128,128,95.3125
reacher,Standard,Predictor-Learned,true,128,128,96.875
reacher,Standard,Simulator-Final,true,128,128,96.09375
reacher,Standard,Simulator-Observed,true,128,128,96.875
reacher,Standard,Simulator-Learned,true,128,128,96.875
reacher,Standard,Displacement-Observed,true,128,128,98.4375
reacher,Perturbed,Direct,true,256,256,96.875
reacher,Perturbed,Predictor-Final,true,256,256,97.265625
reacher,Perturbed,Predictor-Observed,true,256,256,96.09375
reacher,Perturbed,Predictor-Learned,true,256,256,97.65625
reacher,Perturbed,Simulator-Final,true,256,256,97.265625
reacher,Perturbed,Simulator-Observed,true,256,256,96.09375
reacher,Perturbed,Simulator-Learned,true,256,256,97.65625
reacher,Perturbed,Displacement-Observed,true,256,256,95.703125
reacher,Perturbed 1,Direct,true,128,128,96.875
reacher,Perturbed 1,Predictor-Final,true,128,128,98.4375
reacher,Perturbed 1,Predictor-Observed,true,128,128,96.875
reacher,Perturbed 1,Predictor-Learned,true,128,128,97.65625
reacher,Perturbed 1,Simulator-Final,true,128,128,96.875
reacher,Perturbed 1,Simulator-Observed,true,128,128,96.875
reacher,Perturbed 1,Simulator-Learned,true,128,128,97.65625
reacher,Perturbed 1,Displacement-Observed,true,128,128,96.09375
reacher,Perturbed 2,Direct,true,128,128,96.875
reacher,Perturbed 2,Predictor-Final,true,128,128,96.09375
reacher,Perturbed 2,Predictor-Observed,true,128,128,95.3125
reacher,Perturbed 2,Predictor-Learned,true,128,128,97.65625
reacher,Perturbed 2,Simulator-Final,true,128,128,97.65625
reacher,Perturbed 2,Simulator-Observed,true,128,128,95.3125
reacher,Perturbed 2,Simulator-Learned,true,128,128,97.65625
reacher,Perturbed 2,Displacement-Observed,true,128,128,95.3125
tworoom,Standard,Direct,true,128,128,99.21875
tworoom,Standard,Predictor-Final,true,128,128,100
tworoom,Standard,Predictor-Observed,true,128,128,99.21875
tworoom,Standard,Predictor-Learned,true,128,128,100
tworoom,Standard,Simulator-Final,true,128,128,99.21875
tworoom,Standard,Simulator-Observed,true,128,128,100
tworoom,Standard,Simulator-Learned,true,128,128,100
tworoom,Standard,Displacement-Observed,true,128,128,99.21875
tworoom,Perturbed,Direct,true,256,256,100
tworoom,Perturbed,Predictor-Final,true,256,256,100
tworoom,Perturbed,Predictor-Observed,true,256,256,99.21875
tworoom,Perturbed,Predictor-Learned,true,256,256,99.609375
tworoom,Perturbed,Simulator-Final,true,256,256,99.609375
tworoom,Perturbed,Simulator-Observed,true,256,256,99.21875
tworoom,Perturbed,Simulator-Learned,true,256,256,99.609375
tworoom,Perturbed,Displacement-Observed,true,256,256,99.609375
tworoom,Perturbed 1,Direct,true,128,128,100
tworoom,Perturbed 1,Predictor-Final,true,128,128,100
tworoom,Perturbed 1,Predictor-Observed,true,128,128,98.4375
tworoom,Perturbed 1,Predictor-Learned,true,128,128,99.21875
tworoom,Perturbed 1,Simulator-Final,true,128,128,100
tworoom,Perturbed 1,Simulator-Observed,true,128,128,98.4375
tworoom,Perturbed 1,Simulator-Learned,true,128,128,99.21875
tworoom,Perturbed 1,Displacement-Observed,true,128,128,99.21875
tworoom,Perturbed 2,Direct,true,128,128,100
tworoom,Perturbed 2,Predictor-Final,true,128,128,100
tworoom,Perturbed 2,Predictor-Observed,true,128,128,100
tworoom,Perturbed 2,Predictor-Learned,true,128,128,100
tworoom,Perturbed 2,Simulator-Final,true,128,128,99.21875
tworoom,Perturbed 2,Simulator-Observed,true,128,128,100
tworoom,Perturbed 2,Simulator-Learned,true,128,128,100
tworoom,Perturbed 2,Displacement-Observed,true,128,128,100
