task,query_ordinal,condition,selector,entered_policy,success,primitive_steps,first_candidate_rank
cube,0,clean,Direct,1,1,21,0
cube,0,clean,Predictor-Final,1,1,32,7
cube,0,clean,Predictor-Observed,1,1,22,2
cube,0,clean,Predictor-Learned,1,1,17,1
cube,0,clean,Simulator-Final,1,1,31,4
cube,0,clean,Simulator-Observed,1,1,22,2
cube,0,clean,Simulator-Learned,1,1,21,3
cube,0,clean,Displacement-Observed,1,1,21,0
cube,0,prefix_a,Direct,1,1,26,0
cube,0,prefix_a,Predictor-Final,1,1,19,6
cube,0,prefix_a,Predictor-Observed,1,1,19,6
cube,0,prefix_a,Predictor-Learned,1,1,25,3
cube,0,prefix_a,Simulator-Final,1,1,30,7
cube,0,prefix_a,Simulator-Observed,1,1,25,3
cube,0,prefix_a,Simulator-Learned,1,1,27,5
cube,0,prefix_a,Displacement-Observed,1,1,26,0
cube,0,prefix_b,Direct,1,1,17,0
cube,0,prefix_b,Predictor-Final,1,1,13,5
cube,0,prefix_b,Predictor-Observed,1,1,17,0
cube,0,prefix_b,Predictor-Learned,1,1,17,0
cube,0,prefix_b,Simulator-Final,1,1,13,5
cube,0,prefix_b,Simulator-Observed,1,1,17,0
cube,0,prefix_b,Simulator-Learned,1,1,17,0
cube,0,prefix_b,Displacement-Observed,1,1,15,3
cube,1,clean,Direct,1,1,36,0
cube,1,clean,Predictor-Final,1,1,38,7
cube,1,clean,Predictor-Observed,1,1,38,7
cube,1,clean,Predictor-Learned,1,1,38,2
cube,1,clean,Simulator-Final,1,1,38,7
cube,1,clean,Simulator-Observed,1,1,38,7
cube,1,clean,Simulator-Learned,1,1,38,2
cube,1,clean,Displacement-Observed,1,1,38,7
cube,1,prefix_a,Direct,1,0,150,0
cube,1,prefix_a,Predictor-Final,1,0,150,5
cube,1,prefix_a,Predictor-Observed,1,1,42,2
cube,1,prefix_a,Predictor-Learned,1,1,40,3
cube,1,prefix_a,Simulator-Final,1,0,150,5
cube,1,prefix_a,Simulator-Observed,1,1,40,3
cube,1,prefix_a,Simulator-Learned,1,1,40,3
cube,1,prefix_a,Displacement-Observed,1,1,37,7
cube,1,prefix_b,Direct,1,1,38,0
cube,1,prefix_b,Predictor-Final,1,1,38,3
cube,1,prefix_b,Predictor-Observed,1,1,41,1
cube,1,prefix_b,Predictor-Learned,1,1,38,6
cube,1,prefix_b,Simulator-Final,1,1,38,3
cube,1,prefix_b,Simulator-Observed,1,1,41,1
cube,1,prefix_b,Simulator-Learned,1,1,38,6
cube,1,prefix_b,Displacement-Observed,1,1,41,1
cube,2,clean,Direct,1,1,38,0
cube,2,clean,Predictor-Final,1,1,38,7
cube,2,clean,Predictor-Observed,1,1,38,0
cube,2,clean,Predictor-Learned,1,1,38,7
cube,2,clean,Simulator-Final,1,0,150,6
cube,2,clean,Simulator-Observed,1,1,38,7
cube,2,clean,Simulator-Learned,1,1,41,4
cube,2,clean,Displacement-Observed,1,1,38,0
cube,2,prefix_a,Direct,1,1,42,0
cube,2,prefix_a,Predictor-Final,1,0,150,7
cube,2,prefix_a,Predictor-Observed,1,1,42,0
cube,2,prefix_a,Predictor-Learned,1,1,43,3
cube,2,prefix_a,Simulator-Final,1,0,150,7
cube,2,prefix_a,Simulator-Observed,1,1,42,0
cube,2,prefix_a,Simulator-Learned,1,1,43,3
cube,2,prefix_a,Displacement-Observed,1,1,42,0
cube,2,prefix_b,Direct,1,1,29,0
cube,2,prefix_b,Predictor-Final,1,1,34,1
cube,2,prefix_b,Predictor-Observed,1,1,29,0
cube,2,prefix_b,Predictor-Learned,1,1,30,7
cube,2,prefix_b,Simulator-Final,1,1,29,0
cube,2,prefix_b,Simulator-Observed,1,1,29,0
cube,2,prefix_b,Simulator-Learned,1,1,30,7
cube,2,prefix_b,Displacement-Observed,1,1,29,0
cube,3,clean,Direct,1,1,52,0
cube,3,clean,Predictor-Final,1,0,150,7
cube,3,clean,Predictor-Observed,1,1,52,0
cube,3,clean,Predictor-Learned,1,0,150,3
cube,3,clean,Simulator-Final,1,0,150,7
cube,3,clean,Simulator-Observed,1,1,52,0
cube,3,clean,Simulator-Learned,1,0,150,3
cube,3,clean,Displacement-Observed,1,0,150,3
cube,3,prefix_a,Direct,1,0,150,0
cube,3,prefix_a,Predictor-Final,1,0,150,7
cube,3,prefix_a,Predictor-Observed,1,0,150,0
cube,3,prefix_a,Predictor-Learned,1,0,150,6
cube,3,prefix_a,Simulator-Final,1,0,150,5
cube,3,prefix_a,Simulator-Observed,1,0,150,0
cube,3,prefix_a,Simulator-Learned,1,0,150,1
cube,3,prefix_a,Displacement-Observed,1,0,150,0
cube,3,prefix_b,Direct,1,1,51,0
cube,3,prefix_b,Predictor-Final,1,0,150,7
cube,3,prefix_b,Predictor-Observed,1,0,150,7
cube,3,prefix_b,Predictor-Learned,1,1,53,3
cube,3,prefix_b,Simulator-Final,1,0,150,7
cube,3,prefix_b,Simulator-Observed,1,0,150,7
cube,3,prefix_b,Simulator-Learned,1,1,53,3
cube,3,prefix_b,Displacement-Observed,1,1,53,3
