kind,task,start,complete,completed,expected,success_percent,mean_pred_blocks,mean_steps,config_B,config_H,config_arm,config_iterations,config_default,config_memory_fraction,config_target_L,config_key,config_span
horizon,cube,Standard,true,128,128,8.59375,166326.015625,92.2109375,100,100,cem_final,30,,,,,
horizon,cube,Perturbed,true,256,256,8.984375,165341.421875,91.72265625,100,100,cem_final,30,,,,,
horizon,cube,Perturbed 1,true,128,128,9.375,164778.796875,91.3984375,100,100,cem_final,30,,,,,
horizon,cube,Perturbed 2,true,128,128,8.59375,165904.046875,92.046875,100,100,cem_final,30,,,,,
horizon,cube,Standard,true,128,128,55.46875,112665.65625,61.5859375,100,100,cem_learned,30,,,,,
horizon,cube,Perturbed,true,256,256,34.765625,137878.2890625,75.93359375,100,100,cem_learned,30,,,,,
horizon,cube,Perturbed 1,true,128,128,35.9375,136506.890625,75.1328125,100,100,cem_learned,30,,,,,
horizon,cube,Perturbed 2,true,128,128,33.59375,139249.6875,76.734375,100,100,cem_learned,30,,,,,
horizon,cube,Standard,true,128,128,32.03125,138898.046875,76.5703125,100,100,cem_observed,30,,,,,
horizon,cube,Perturbed,true,256,256,25.390625,147126.4375,81.203125,100,100,cem_observed,30,,,,,
horizon,cube,Perturbed 1,true,128,128,22.65625,150220.875,83.015625,100,100,cem_observed,30,,,,,
horizon,cube,Perturbed 2,true,128,128,28.125,144032,79.390625,100,100,cem_observed,30,,,,,
horizon,cube,Standard,true,128,128,18.75,155742.1875,85.6328125,100,100,lewm,30,,,,,
horizon,cube,Perturbed,true,256,256,13.28125,162773.4375,89.95703125,100,100,lewm,30,,,,,
horizon,cube,Perturbed 1,true,128,128,10.9375,164882.8125,91.359375,100,100,lewm,30,,,,,
horizon,cube,Perturbed 2,true,128,128,15.625,160664.0625,88.5546875,100,100,lewm,30,,,,,
horizon,cube,Standard,true,128,128,59.375,92.625,56.859375,100,100,rank_final,30,,,,,
horizon,cube,Perturbed,true,256,256,34.765625,120.625,74.75,100,100,rank_final,30,,,,,
