source_table,source_line,column,published_cell,study
anchor_transport_rates_main.tex,6,1,,additional anchor queries; Box projection
anchor_transport_rates_main.tex,6,2,\multicolumn{2}{c}{Standard},additional anchor queries; Box projection
anchor_transport_rates_main.tex,6,3,\multicolumn{2}{c}{Perturbed},additional anchor queries; Box projection
anchor_transport_rates_main.tex,8,1,Task,additional anchor queries; Box projection
anchor_transport_rates_main.tex,8,2,{Anchored},additional anchor queries; Box projection
anchor_transport_rates_main.tex,8,3,{Transported},additional anchor queries; Box projection
anchor_transport_rates_main.tex,8,4,{Anchored},additional anchor queries; Box projection
anchor_transport_rates_main.tex,8,5,{Transported},additional anchor queries; Box projection
anchor_transport_rates_main.tex,10,1,Cube,additional anchor queries; Box projection
anchor_transport_rates_main.tex,10,2,\bfseries 50.0,additional anchor queries; Box projection
anchor_transport_rates_main.tex,10,3,47.7,additional anchor queries; Box projection
anchor_transport_rates_main.tex,10,4,\bfseries 34.4,additional anchor queries; Box projection
anchor_transport_rates_main.tex,10,5,28.5,additional anchor queries; Box projection
anchor_transport_rates_main.tex,11,1,PushT,additional anchor queries; Box projection
anchor_transport_rates_main.tex,11,2,\bfseries 72.7,additional anchor queries; Box projection
anchor_transport_rates_main.tex,11,3,63.3,additional anchor queries; Box projection
anchor_transport_rates_main.tex,11,4,\bfseries 68.0,additional anchor queries; Box projection
anchor_transport_rates_main.tex,11,5,45.7,additional anchor queries; Box projection
anchor_transport_rates_main.tex,12,1,Reacher,additional anchor queries; Box projection
anchor_transport_rates_main.tex,12,2,76.6,additional anchor queries; Box projection
anchor_transport_rates_main.tex,12,3,\bfseries 78.9,additional anchor queries; Box projection
anchor_transport_rates_main.tex,12,4,71.9,additional anchor queries; Box projection
anchor_transport_rates_main.tex,12,5,\bfseries 76.2,additional anchor queries; Box projection
anchor_transport_rates_main.tex,13,1,TwoRoom,additional anchor queries; Box projection
anchor_transport_rates_main.tex,13,2,\bfseries 38.3,additional anchor queries; Box projection
anchor_transport_rates_main.tex,13,3,28.1,additional anchor queries; Box projection
anchor_transport_rates_main.tex,13,4,\bfseries 36.7,additional anchor queries; Box projection
anchor_transport_rates_main.tex,13,5,26.2,additional anchor queries; Box projection
anchor_transport_rates_main.tex,15,1,Mean,additional anchor queries; Box projection
anchor_transport_rates_main.tex,15,2,\bfseries 59.4,additional anchor queries; Box projection
anchor_transport_rates_main.tex,15,3,54.5,additional anchor queries; Box projection
anchor_transport_rates_main.tex,15,4,\bfseries 52.7,additional anchor queries; Box projection
