task,controller,query_ordinal,condition,success,primitive_steps,prediction_blocks
cube,AP-CEM,0,clean,1,20,36008
cube,AP-CEM,0,prefix_a,1,26,54012
cube,AP-CEM,0,prefix_b,1,20,36008
cube,AP-CEM,1,clean,0,150,270060
cube,AP-CEM,1,prefix_a,0,150,270060
cube,AP-CEM,1,prefix_b,0,150,270060
cube,AP-CEM,2,clean,1,40,72016
cube,AP-CEM,2,prefix_a,1,44,81018
cube,AP-CEM,2,prefix_b,1,38,72016
cube,AP-CEM,3,clean,0,150,270060
cube,AP-CEM,3,prefix_a,0,150,270060
cube,AP-CEM,3,prefix_b,0,150,270060
cube,AP-CEM,4,clean,1,20,36008
cube,AP-CEM,4,prefix_a,1,15,27006
cube,AP-CEM,4,prefix_b,0,150,270060
cube,AP-CEM,5,clean,1,45,81018
cube,AP-CEM,5,prefix_a,0,150,270060
cube,AP-CEM,5,prefix_b,0,150,270060
cube,AP-CEM,6,clean,0,150,270060
cube,AP-CEM,6,prefix_a,0,150,270060
cube,AP-CEM,6,prefix_b,0,150,270060
cube,AP-CEM,7,clean,1,43,81018
cube,AP-CEM,7,prefix_a,1,29,54012
cube,AP-CEM,7,prefix_b,1,43,81018
cube,AP-CEM,8,clean,1,28,54012
cube,AP-CEM,8,prefix_a,0,150,270060
cube,AP-CEM,8,prefix_b,0,150,270060
cube,AP-CEM,9,clean,0,150,270060
cube,AP-CEM,9,prefix_a,0,150,270060
cube,AP-CEM,9,prefix_b,0,150,270060
cube,AP-CEM,10,clean,1,45,81018
cube,AP-CEM,10,prefix_a,0,150,270060
cube,AP-CEM,10,prefix_b,0,150,270060
cube,AP-CEM,11,clean,0,150,270060
cube,AP-CEM,11,prefix_a,0,150,270060
cube,AP-CEM,11,prefix_b,1,23,45010
cube,AP-CEM,12,clean,1,16,36008
cube,AP-CEM,12,prefix_a,0,150,270060
cube,AP-CEM,12,prefix_b,1,13,27006
cube,AP-CEM,13,clean,0,150,270060
cube,AP-CEM,13,prefix_a,0,150,270060
cube,AP-CEM,13,prefix_b,1,43,81018
cube,AP-CEM,14,clean,1,19,36008
cube,AP-CEM,14,prefix_a,0,150,270060
cube,AP-CEM,14,prefix_b,1,23,45010
cube,AP-CEM,15,clean,0,150,270060
cube,AP-CEM,15,prefix_a,0,150,270060
cube,AP-CEM,15,prefix_b,0,150,270060
cube,AP-CEM,16,clean,1,24,45010
cube,AP-CEM,16,prefix_a,0,150,270060
cube,AP-CEM,16,prefix_b,1,50,90020
cube,AP-CEM,17,clean,0,150,270060
cube,AP-CEM,17,prefix_a,0,150,270060
cube,AP-CEM,17,prefix_b,0,150,270060
cube,AP-CEM,18,clean,0,150,270060
cube,AP-CEM,18,prefix_a,0,150,270060
cube,AP-CEM,18,prefix_b,0,150,270060
