task,arm,start,complete,completed_outcomes,expected_outcomes,success_percent,mean_pred_blocks,baseline_configuration
cube,CEM (final goal),Standard,true,128,128,7.03125,252618.625,
cube,CEM (final goal),Perturbed,true,256,256,2.734375,263167.84375,
cube,CEM (final goal),Perturbed 1,true,128,128,2.34375,264082.109375,
cube,CEM (final goal),Perturbed 2,true,128,128,3.125,262253.578125,
cube,AP-CEM,Standard,true,128,128,46.875,170264.390625,
cube,AP-CEM,Perturbed,true,256,256,29.6875,206835.015625,
cube,AP-CEM,Perturbed 1,true,128,128,29.6875,207538.296875,
cube,AP-CEM,Perturbed 2,true,128,128,29.6875,206131.734375,
cube,Direct,Standard,true,128,128,82.03125,0,
cube,Direct,Perturbed,true,256,256,47.65625,0,
cube,Direct,Perturbed 1,true,128,128,44.53125,0,
cube,Direct,Perturbed 2,true,128,128,50.78125,0,
cube,Rank (final goal),Standard,true,128,128,62.5,119.1875,
cube,Rank (final goal),Perturbed,true,256,256,41.796875,157.96875,
cube,Rank (final goal),Perturbed 1,true,128,128,39.84375,162.375,
cube,Rank (final goal),Perturbed 2,true,128,128,43.75,153.5625,
cube,AP-rank,Standard,true,128,128,73.4375,104.9375,
cube,AP-rank,Perturbed,true,256,256,45.703125,154.6875,
cube,AP-rank,Perturbed 1,true,128,128,43.75,158.375,
cube,AP-rank,Perturbed 2,true,128,128,47.65625,151,
cube,CEM (learned target),Standard,true,128,128,62.5,142273.796875,
cube,CEM (learned target),Perturbed,true,256,256,38.671875,191538.6484375,
cube,CEM (learned target),Perturbed 1,true,128,128,37.5,194597.921875,
cube,CEM (learned target),Perturbed 2,true,128,128,39.84375,188479.375,
cube,Rank (learned target),Standard,true,128,128,91.40625,79.3125,
cube,Rank (learned target),Perturbed,true,256,256,50,149.53125,
cube,Rank (learned target),Perturbed 1,true,128,128,50.78125,149,
cube,Rank (learned target),Perturbed 2,true,128,128,49.21875,150.0625,
cube,LeWM planner,Standard,true,128,128,15.625,235195.3125,"released_raw; plan 25, execute 25"
cube,LeWM planner,Perturbed,true,256,256,12.5,241875,"released_raw; plan 25, execute 25"
cube,LeWM planner,Perturbed 1,true,128,128,11.71875,243632.8125,"released_raw; plan 25, execute 25"
cube,LeWM planner,Perturbed 2,true,128,128,13.28125,240117.1875,"released_raw; plan 25, execute 25"
pusht,CEM (final goal),Standard,true,128,128,2.34375,493562.78125,
pusht,CEM (final goal),Perturbed,true,256,256,2.734375,491101.296875,
pusht,CEM (final goal),Perturbed 1,true,128,128,2.34375,493000.15625,
pusht,CEM (final goal),Perturbed 2,true,128,128,3.125,489202.4375,
pusht,AP-CEM,Standard,true,128,128,69.53125,326111.515625,
pusht,AP-CEM,Perturbed,true,256,256,64.84375,338629.921875,
pusht,AP-CEM,Perturbed 1,true,128,128,64.0625,340388.125,
pusht,AP-CEM,Perturbed 2,true,128,128,65.625,336871.71875,
pusht,Direct,Standard,true,128,128,51.5625,0,
pusht,Direct,Perturbed,true,256,256,17.96875,0,
pusht,Direct,Perturbed 1,true,128,128,19.53125,0,
pusht,Direct,Perturbed 2,true,128,128,16.40625,0,
pusht,Rank (final goal),Standard,true,128,128,25.78125,384.8125,
pusht,Rank (final goal),Perturbed,true,256,256,12.890625,416.34375,
pusht,Rank (final goal),Perturbed 1,true,128,128,13.28125,415.1875,
pusht,Rank (final goal),Perturbed 2,true,128,128,12.5,417.5,
pusht,AP-rank,Standard,true,128,128,66.40625,300,
pusht,AP-rank,Perturbed,true,256,256,47.65625,344.25,
pusht,AP-rank,Perturbed 1,true,128,128,47.65625,344.375,
pusht,AP-rank,Perturbed 2,true,128,128,47.65625,344.125,
pusht,CEM (learned target),Standard,true,128,128,52.34375,375059.890625,
pusht,CEM (learned target),Perturbed,true,256,256,48.828125,387402.4765625,
pusht,CEM (learned target),Perturbed 1,true,128,128,48.4375,388281.578125,
pusht,CEM (learned target),Perturbed 2,true,128,128,49.21875,386523.375,
pusht,Rank (learned target),Standard,true,128,128,54.6875,328.25,
pusht,Rank (learned target),Perturbed,true,256,256,35.546875,370.03125,
pusht,Rank (learned target),Perturbed 1,true,128,128,34.375,370.625,
pusht,Rank (learned target),Perturbed 2,true,128,128,36.71875,369.4375,
pusht,LeWM planner,Standard,true,128,128,7.03125,514687.5,"released_raw; plan 25, execute 25"
pusht,LeWM planner,Perturbed,true,256,256,9.375,505371.09375,"released_raw; plan 25, execute 25"
pusht,LeWM planner,Perturbed 1,true,128,128,8.59375,508007.8125,"released_raw; plan 25, execute 25"
pusht,LeWM planner,Perturbed 2,true,128,128,10.15625,502734.375,"released_raw; plan 25, execute 25"
reacher,CEM (final goal),Standard,true,128,128,25.78125,407762.46875,
reacher,CEM (final goal),Perturbed,true,256,256,22.65625,425309.3359375,
reacher,CEM (final goal),Perturbed 1,true,128,128,21.875,428298.28125,
reacher,CEM (final goal),Perturbed 2,true,128,128,23.4375,422320.390625,
reacher,AP-CEM,Standard,true,128,128,75.78125,323579.703125,
reacher,AP-CEM,Perturbed,true,256,256,78.90625,313171.140625,
reacher,AP-CEM,Perturbed 1,true,128,128,82.8125,304380.125,
reacher,AP-CEM,Perturbed 2,true,128,128,75,321962.15625,
reacher,Direct,Standard,true,128,128,99.21875,0,
reacher,Direct,Perturbed,true,256,256,96.875,0,
reacher,Direct,Perturbed 1,true,128,128,96.875,0,
reacher,Direct,Perturbed 2,true,128,128,96.875,0,
reacher,Rank (final goal),Standard,true,128,128,90.625,201.0625,
reacher,Rank (final goal),Perturbed,true,256,256,87.5,204.6875,
reacher,Rank (final goal),Perturbed 1,true,128,128,88.28125,197.75,
reacher,Rank (final goal),Perturbed 2,true,128,128,86.71875,211.625,
