task,width,output,best_step,validation_mse,worker_minutes,precision,updates,peak_reserved_bytes
Cube,512,Absolute,48500,0.1049262285232544,14.942008289135993,saved full precision,50000,3355443200
Cube,512,Residual,48500,0.10457925498485565,15.656315514538438,saved full precision,50000,3355443200
Cube,1024,Absolute,41000,0.10442221164703369,14.402286411418268,saved full precision,46000,3426746368
Cube,1024,Residual,48500,0.10264599323272705,17.71558578008165,saved full precision,50000,3426746368
PushT,512,Absolute,48000,0.023949911817908287,7.726444182234506,saved full precision,50000,3854565376
PushT,512,Residual,48000,0.02400718256831169,4.649795411154628,saved full precision,50000,3854565376
PushT,1024,Absolute,47500,0.02021012455224991,10.812257310561836,saved full precision,50000,3925868544
PushT,1024,Residual,45500,0.01965847611427307,10.842694753222167,saved full precision,50000,3925868544
Reacher,512,Absolute,11500,0.3918396830558777,1.6719653996328512,saved full precision,16500,3355443200
Reacher,512,Residual,21500,0.38918817043304443,2.5828825189732014,saved full precision,26500,3355443200
Reacher,1024,Absolute,11500,0.3912547528743744,1.7049259566391508,saved full precision,16500,3426746368
Reacher,1024,Residual,21500,0.3893962800502777,2.5577366896594564,saved full precision,26500,3426746368
TwoRoom,512,Absolute,14500,0.697171688079834,2.565313463533918,saved full precision,19500,1681915904
TwoRoom,512,Residual,15500,0.7029775977134705,2.7184154976469777,saved full precision,20500,1681915904
TwoRoom,1024,Absolute,8000,0.6972392797470093,2.472024528278659,saved full precision,13000,1753219072
TwoRoom,1024,Residual,7500,0.704443633556366,2.4296011426796515,saved full precision,12500,1753219072
