task,condition,episodes,successes,success_percent,mean_prediction_blocks,mean_primitive_steps,mean_decisions,planned_actions,maximum_executed_actions
cube,clean,128,17,13.28125,1188632.8125,131.84375,26.4140625,25,5
cube,prefix_a,128,14,10.9375,1221328.125,135.515625,27.140625,25,5
cube,prefix_b,128,20,15.625,1172460.9375,129.9921875,26.0546875,25,5
pusht,clean,128,9,7.03125,2401523.4375,266.6953125,53.3671875,25,5
pusht,prefix_a,128,10,7.8125,2385000,264.859375,53,25,5
pusht,prefix_b,128,11,8.59375,2363203.125,262.3671875,52.515625,25,5
reacher,clean,128,94,73.4375,1387617.1875,152.5546875,30.8359375,25,5
reacher,prefix_a,128,98,76.5625,1264921.875,138.8828125,28.109375,25,5
reacher,prefix_b,128,100,78.125,1379179.6875,151.59375,30.6484375,25,5
tworoom,clean,128,35,27.34375,1499765.625,166.1171875,33.328125,25,5
tworoom,prefix_a,128,31,24.21875,1514531.25,167.9609375,33.65625,25,5
tworoom,prefix_b,128,35,27.34375,1504335.9375,166.6796875,33.4296875,25,5
