task,H,B,query_ordinal,condition,mode,record_id,success,primitive_steps,decisions,predictor_calls,prediction_blocks,optimizer_seed,prelude,elapsed_seconds,variant,planned_actions_per_decision,maximum_executed_actions_per_decision
cube,150,150,0,clean,released_raw,ap-fresh-cube-000,True,13,3,450,135000,26091351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",5.7641,LeWM (5-action replanning),25,5
cube,150,150,0,prefix_a,released_raw,ap-fresh-cube-000,True,10,2,300,90000,26091351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",3.9337,LeWM (5-action replanning),25,5
cube,150,150,0,prefix_b,released_raw,ap-fresh-cube-000,False,150,30,4500,1350000,26091351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",53.124,LeWM (5-action replanning),25,5
cube,150,150,1,clean,released_raw,ap-fresh-cube-001,False,150,30,4500,1350000,26092351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",53.7328,LeWM (5-action replanning),25,5
cube,150,150,1,prefix_a,released_raw,ap-fresh-cube-001,False,150,30,4500,1350000,26092351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",53.394,LeWM (5-action replanning),25,5
cube,150,150,1,prefix_b,released_raw,ap-fresh-cube-001,False,150,30,4500,1350000,26092351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",53.6268,LeWM (5-action replanning),25,5
cube,150,150,2,clean,released_raw,ap-fresh-cube-002,False,150,30,4500,1350000,26093351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",53.5701,LeWM (5-action replanning),25,5
cube,150,150,2,prefix_a,released_raw,ap-fresh-cube-002,False,150,30,4500,1350000,26093351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",54.1161,LeWM (5-action replanning),25,5
cube,150,150,2,prefix_b,released_raw,ap-fresh-cube-002,False,150,30,4500,1350000,26093351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",53.5826,LeWM (5-action replanning),25,5
cube,150,150,3,clean,released_raw,ap-fresh-cube-003,False,150,30,4500,1350000,26094351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",53.4239,LeWM (5-action replanning),25,5
cube,150,150,3,prefix_a,released_raw,ap-fresh-cube-003,False,150,30,4500,1350000,26094351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",53.051,LeWM (5-action replanning),25,5
cube,150,150,3,prefix_b,released_raw,ap-fresh-cube-003,False,150,30,4500,1350000,26094351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",53.5457,LeWM (5-action replanning),25,5
cube,150,150,4,clean,released_raw,ap-fresh-cube-004,False,150,30,4500,1350000,26095351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",57.8474,LeWM (5-action replanning),25,5
cube,150,150,4,prefix_a,released_raw,ap-fresh-cube-004,False,150,30,4500,1350000,26095351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",56.5113,LeWM (5-action replanning),25,5
cube,150,150,4,prefix_b,released_raw,ap-fresh-cube-004,False,150,30,4500,1350000,26095351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",56.2631,LeWM (5-action replanning),25,5
