task,seed,seed_source,episodes,successes,success_rate,episode_ids,start_steps,goal_steps,configured_goal_offset,actual_frame_offset,budget,solver_calls
cube,42,released config,50,37,74.0,"[638, 679, 859, 892, 921, 941, 1281, 1652, 1825, 2014, 2272, 2767, 3545, 3707, 4024, 4330, 4388, 4434, 4456, 4503, 4504, 5003, 5132, 5264, 5454, 5545, 6316, 6438, 6545, 6779, 6973, 7005, 7174, 7357, 7580, 7611, 7739, 7783, 7815, 7860, 8227, 8276, 8397, 8582, 8585, 8878, 8931, 9267, 9706, 9756]","[29, 34, 76, 85, 61, 132, 19, 49, 82, 113, 63, 101, 43, 161, 15, 6, 117, 15, 152, 137, 95, 76, 29, 117, 39, 139, 106, 98, 94, 32, 89, 34, 110, 64, 147, 41, 60, 146, 98, 85, 89, 44, 58, 148, 133, 143, 34, 89, 167, 1]","[53, 58, 100, 109, 85, 156, 43, 73, 106, 137, 87, 125, 67, 185, 39, 30, 141, 39, 176, 161, 119, 100, 53, 141, 63, 163, 130, 122, 118, 56, 113, 58, 134, 88, 171, 65, 84, 170, 122, 109, 113, 68, 82, 172, 157, 167, 58, 113, 191, 25]",25,24,50,2
cube,43,predeclared audit repeat,50,41,82.0,"[40, 140, 200, 437, 1472, 1893, 2247, 2636, 2738, 2765, 2785, 2786, 3089, 3799, 3889, 3996, 4012, 4199, 4219, 4224, 4510, 4568, 4644, 4699, 4854, 5053, 5351, 5478, 5771, 5871, 5931, 6392, 6522, 7002, 7517, 7767, 8246, 8381, 8391, 8464, 8918, 8948, 9327, 9428, 9451, 9517, 9552, 9646, 9899, 9978]","[136, 89, 51, 130, 25, 164, 0, 153, 12, 121, 53, 51, 36, 150, 129, 152, 168, 123, 166, 21, 41, 173, 126, 175, 151, 16, 43, 113, 66, 51, 127, 124, 142, 0, 134, 59, 150, 173, 162, 137, 154, 153, 143, 116, 40, 80, 173, 170, 94, 142]","[160, 113, 75, 154, 49, 188, 24, 177, 36, 145, 77, 75, 60, 174, 153, 176, 192, 147, 190, 45, 65, 197, 150, 199, 175, 40, 67, 137, 90, 75, 151, 148, 166, 24, 158, 83, 174, 197, 186, 161, 178, 177, 167, 140, 64, 104, 197, 194, 118, 166]",25,24,50,2
cube,44,predeclared audit repeat,50,34,68.0,"[176, 194, 872, 884, 1010, 1084, 1225, 1623, 1630, 1807, 1971, 2034, 2581, 3379, 3742, 4013, 4023, 4057, 4113, 4114, 4418, 5238, 5347, 5435, 5462, 5863, 5913, 6165, 6529, 6658, 6668, 6777, 6922, 7155, 7334, 7414, 7973, 8190, 8453, 8533, 8572, 9007, 9267, 9396, 9549, 9686, 9691, 9872, 9911, 9940]","[142, 108, 71, 88, 60, 68, 109, 23, 73, 162, 108, 41, 10, 97, 48, 139, 136, 106, 166, 152, 154, 103, 84, 102, 9, 91, 91, 41, 28, 102, 55, 17, 124, 111, 50, 123, 161, 71, 161, 93, 131, 83, 64, 50, 35, 109, 106, 141, 163, 19]","[166, 132, 95, 112, 84, 92, 133, 47, 97, 186, 132, 65, 34, 121, 72, 163, 160, 130, 190, 176, 178, 127, 108, 126, 33, 115, 115, 65, 52, 126, 79, 41, 148, 135, 74, 147, 185, 95, 185, 117, 155, 107, 88, 74, 59, 133, 130, 165, 187, 43]",25,24,50,2
pusht,42,released config,50,49,98.0,"[1235, 1316, 1639, 1694, 1761, 1820, 2635, 3184, 3517, 3838, 4299, 5123, 6651, 6983, 7572, 8235, 8313, 8373, 8408, 8486, 8488, 9591, 9864, 10117, 10378, 10489, 11775, 12047, 12221, 12591, 12961, 13029, 13303, 13586, 14033, 14108, 14327, 14432, 14474, 14526, 15277, 15435, 15701, 16015, 16019, 16399, 16532, 17264, 17939, 18054]","[36, 129, 40, 59, 19, 13, 114, 115, 2, 133, 20, 126, 49, 65, 116, 10, 130, 101, 89, 37, 20, 26, 50, 135, 28, 33, 25, 95, 46, 155, 25, 32, 72, 35, 87, 35, 27, 47, 98, 126, 42, 19, 33, 137, 72, 75, 35, 9, 40, 21]","[60, 153, 64, 83, 43, 37, 138, 139, 26, 157, 44, 150, 73, 89, 140, 34, 154, 125, 113, 61, 44, 50, 74, 159, 52, 57, 49, 119, 70, 179, 49, 56, 96, 59, 111, 59, 51, 71, 122, 150, 66, 43, 57, 161, 96, 99, 59, 33, 64, 45]",25,24,50,2
pusht,43,predeclared audit repeat,50,46,92.0,"[90, 313, 433, 854, 2955, 3645, 4219, 4961, 5089, 5121, 5144, 5145, 5787, 7191, 7352, 7536, 7557, 8013, 8047, 8054, 8501, 8632, 8818, 8892, 9239, 9700, 10222, 10413, 10915, 11091, 11192, 11972, 12181, 13022, 13955, 14394, 15327, 15685, 15695, 15807, 16500, 16574, 17330, 17518, 17571, 17674, 17733, 17851, 18457, 18639]","[63, 30, 12, 144, 121, 8, 23, 137, 151, 99, 18, 39, 27, 11, 76, 66, 135, 104, 47, 37, 44, 77, 128, 22, 64, 55, 67, 19, 10, 51, 73, 88, 37, 44, 74, 43, 58, 43, 102, 41, 38, 76, 16, 20, 52, 98, 8, 77, 32, 86]","[87, 54, 36, 168, 145, 32, 47, 161, 175, 123, 42, 63, 51, 35, 100, 90, 159, 128, 71, 61, 68, 101, 152, 46, 88, 79, 91, 43, 34, 75, 97, 112, 61, 68, 98, 67, 82, 67, 126, 65, 62, 100, 40, 44, 76, 122, 32, 101, 56, 110]",25,24,50,2
pusht,44,predeclared audit repeat,50,43,86.0,"[375, 409, 1661, 1681, 1989, 2114, 2464, 3138, 3150, 3474, 3767, 3864, 4877, 6286, 7064, 7559, 7572, 7645, 7776, 7779, 8353, 10070, 10217, 10348, 10390, 11079, 11161, 11497, 12192, 12385, 12400, 12589, 12870, 13275, 13539, 13698, 14710, 15212, 15769, 15954, 16003, 16683, 17263, 17440, 17726, 17905, 17913, 18387, 18489, 18555]","[59, 8, 1, 22, 95, 28, 27, 48, 6, 76, 39, 51, 35, 50, 8, 12, 58, 83, 12, 26, 97, 5, 14, 53, 87, 72, 48, 34, 57, 88, 107, 127, 8, 104, 92, 23, 122, 9, 23, 58, 87, 83, 84, 64, 99, 14, 59, 4, 22, 13]","[83, 32, 25, 46, 119, 52, 51, 72, 30, 100, 63, 75, 59, 74, 32, 36, 82, 107, 36, 50, 121, 29, 38, 77, 111, 96, 72, 58, 81, 112, 131, 151, 32, 128, 116, 47, 146, 33, 47, 82, 111, 107, 108, 88, 123, 38, 83, 28, 46, 37]",25,24,50,2
reacher,42,released config,50,39,78.0,"[638, 679, 859, 892, 921, 941, 1281, 1652, 1825, 2014, 2272, 2767, 3545, 3707, 4024, 4330, 4388, 4434, 4456, 4503, 4504, 5003, 5132, 5264, 5454, 5545, 6316, 6438, 6545, 6779, 6973, 7005, 7174, 7357, 7580, 7611, 7739, 7783, 7815, 7860, 8227, 8276, 8397, 8582, 8585, 8878, 8931, 9267, 9706, 9756]","[29, 34, 76, 85, 61, 132, 19, 49, 82, 113, 63, 101, 43, 161, 15, 6, 117, 15, 152, 137, 95, 76, 29, 117, 39, 139, 106, 98, 94, 32, 89, 34, 110, 64, 147, 41, 60, 146, 98, 85, 89, 44, 58, 148, 133, 143, 34, 89, 167, 1]","[53, 58, 100, 109, 85, 156, 43, 73, 106, 137, 87, 125, 67, 185, 39, 30, 141, 39, 176, 161, 119, 100, 53, 141, 63, 163, 130, 122, 118, 56, 113, 58, 134, 88, 171, 65, 84, 170, 122, 109, 113, 68, 82, 172, 157, 167, 58, 113, 191, 25]",25,24,50,2
reacher,43,predeclared audit repeat,50,40,80.0,"[40, 140, 200, 437, 1472, 1893, 2247, 2636, 2738, 2765, 2785, 2786, 3089, 3799, 3889, 3996, 4012, 4199, 4219, 4224, 4510, 4568, 4644, 4699, 4854, 5053, 5351, 5478, 5771, 5871, 5931, 6392, 6522, 7002, 7517, 7767, 8246, 8381, 8391, 8464, 8918, 8948, 9327, 9428, 9451, 9517, 9552, 9646, 9899, 9978]","[136, 89, 51, 130, 25, 164, 0, 153, 12, 121, 53, 51, 36, 150, 129, 152, 168, 123, 166, 21, 41, 173, 126, 175, 151, 16, 43, 113, 66, 51, 127, 124, 142, 0, 134, 59, 150, 173, 162, 137, 154, 153, 143, 116, 40, 80, 173, 170, 94, 142]","[160, 113, 75, 154, 49, 188, 24, 177, 36, 145, 77, 75, 60, 174, 153, 176, 192, 147, 190, 45, 65, 197, 150, 199, 175, 40, 67, 137, 90, 75, 151, 148, 166, 24, 158, 83, 174, 197, 186, 161, 178, 177, 167, 140, 64, 104, 197, 194, 118, 166]",25,24,50,2
reacher,44,predeclared audit repeat,50,41,82.0,"[176, 194, 872, 884, 1010, 1084, 1225, 1623, 1630, 1807, 1971, 2034, 2581, 3379, 3742, 4013, 4023, 4057, 4113, 4114, 4418, 5238, 5347, 5435, 5462, 5863, 5913, 6165, 6529, 6658, 6668, 6777, 6922, 7155, 7334, 7414, 7973, 8190, 8453, 8533, 8572, 9007, 9267, 9396, 9549, 9686, 9691, 9872, 9911, 9940]","[142, 108, 71, 88, 60, 68, 109, 23, 73, 162, 108, 41, 10, 97, 48, 139, 136, 106, 166, 152, 154, 103, 84, 102, 9, 91, 91, 41, 28, 102, 55, 17, 124, 111, 50, 123, 161, 71, 161, 93, 131, 83, 64, 50, 35, 109, 106, 141, 163, 19]","[166, 132, 95, 112, 84, 92, 133, 47, 97, 186, 132, 65, 34, 121, 72, 163, 160, 130, 190, 176, 178, 127, 108, 126, 33, 115, 115, 65, 52, 126, 79, 41, 148, 135, 74, 147, 185, 95, 185, 117, 155, 107, 88, 74, 59, 133, 130, 165, 187, 43]",25,24,50,2
tworoom,42,released config,50,45,90.0,"[644, 687, 872, 905, 933, 953, 1287, 1661, 1832, 2019, 2280, 2773, 3558, 3719, 4032, 4339, 4398, 4445, 4467, 4515, 4516, 5014, 5141, 5272, 5459, 5552, 6320, 6446, 6552, 6791, 6988, 7021, 7189, 7370, 7597, 7627, 7751, 7797, 7826, 7873, 8241, 8289, 8411, 8598, 8601, 8895, 8949, 9277, 9711, 9757]","[42, 68, 25, 16, 20, 17, 72, 21, 10, 36, 50, 13, 57, 39, 0, 7, 52, 6, 38, 21, 0, 72, 7, 33, 55, 36, 28, 26, 41, 37, 59, 44, 16, 22, 55, 48, 27, 32, 66, 32, 30, 18, 21, 31, 39, 31, 49, 75, 8, 70]","[66, 92, 49, 40, 44, 41, 96, 45, 34, 60, 74, 37, 81, 63, 24, 31, 76, 30, 62, 45, 24, 96, 31, 57, 79, 60, 52, 50, 65, 61, 83, 68, 40, 46, 79, 72, 51, 56, 90, 56, 54, 42, 45, 55, 63, 55, 73, 99, 32, 94]",25,24,50,2
