task,seed,episodes,official_successes,wrapper_successes,success_count_difference,episode_agreement,input_images_equal,actions_exactly_equal,max_action_abs_difference,predeclared_parity_pass,checkpoint_tensors_equal,scaler_equal
cube,42,50,37,37,0,1.0,True,False,0.9959594011306763,True,True,True
cube,43,50,41,41,0,1.0,True,False,0.9322753548622131,True,True,True
cube,44,50,34,34,0,1.0,True,False,2.316826581954956,True,True,True
pusht,42,50,49,49,0,1.0,True,False,0.5086566209793091,True,True,True
pusht,43,50,46,46,0,1.0,True,False,0.6763547658920288,True,True,True
pusht,44,50,43,42,-1,0.98,True,False,0.8002946972846985,True,True,True
reacher,42,50,39,39,0,1.0,True,False,5.514492034912109,True,True,True
reacher,43,50,40,40,0,1.0,True,False,7.712357521057129,True,True,True
reacher,44,50,41,41,0,1.0,True,False,8.766100883483887,True,True,True
tworoom,42,50,45,45,0,1.0,True,True,0.0,True,True,True
tworoom,43,50,44,44,0,1.0,True,True,0.0,True,True,True
tworoom,44,50,42,42,0,1.0,True,True,0.0,True,True,True
