task,H,B,query_ordinal,condition,mode,record_id,success,primitive_steps,decisions,predictor_calls,prediction_blocks,optimizer_seed,prelude,elapsed_seconds
cube,25,25,0,clean,released_raw,ap-fresh-cube-000,False,25,1,150,45000,26091351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",6.3389
cube,25,25,0,prefix_a,released_raw,ap-fresh-cube-000,False,25,1,150,45000,26091351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.2847
cube,25,25,0,prefix_b,released_raw,ap-fresh-cube-000,False,25,1,150,45000,26091351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.4014
cube,25,25,1,clean,released_raw,ap-fresh-cube-001,False,25,1,150,45000,26092351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",5.877
cube,25,25,1,prefix_a,released_raw,ap-fresh-cube-001,False,25,1,150,45000,26092351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.8406
cube,25,25,1,prefix_b,released_raw,ap-fresh-cube-001,False,25,1,150,45000,26092351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.8531
cube,25,25,2,clean,released_raw,ap-fresh-cube-002,False,25,1,150,45000,26093351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",5.9632
cube,25,25,2,prefix_a,released_raw,ap-fresh-cube-002,False,25,1,150,45000,26093351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.947
cube,25,25,2,prefix_b,released_raw,ap-fresh-cube-002,False,25,1,150,45000,26093351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.3977
cube,25,25,3,clean,released_raw,ap-fresh-cube-003,True,0,0,0,0,26094351,"{'initial_success': True, 'success': True, 'terminal_without_success': False, 'category': 'initial_success', 'primitive_steps': 0}",0.0063
cube,25,25,3,prefix_a,released_raw,ap-fresh-cube-003,True,0,0,0,0,26094351,"{'initial_success': True, 'success': True, 'terminal_without_success': False, 'category': 'initial_success', 'primitive_steps': 0}",0.0071
cube,25,25,3,prefix_b,released_raw,ap-fresh-cube-003,True,0,0,0,0,26094351,"{'initial_success': True, 'success': True, 'terminal_without_success': False, 'category': 'initial_success', 'primitive_steps': 0}",0.007
cube,25,25,4,clean,released_raw,ap-fresh-cube-004,True,16,1,150,45000,26095351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",6.5299
cube,25,25,4,prefix_a,released_raw,ap-fresh-cube-004,True,16,1,150,45000,26095351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.421
cube,25,25,4,prefix_b,released_raw,ap-fresh-cube-004,False,25,1,150,45000,26095351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.3583
cube,25,25,5,clean,released_raw,ap-fresh-cube-005,True,25,1,150,45000,26096351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",6.431
cube,25,25,5,prefix_a,released_raw,ap-fresh-cube-005,True,24,1,150,45000,26096351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.4904
cube,25,25,5,prefix_b,released_raw,ap-fresh-cube-005,False,25,1,150,45000,26096351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.5449
cube,25,25,6,clean,released_raw,ap-fresh-cube-006,True,0,0,0,0,26097351,"{'initial_success': True, 'success': True, 'terminal_without_success': False, 'category': 'initial_success', 'primitive_steps': 0}",0.0069
cube,25,25,6,prefix_a,released_raw,ap-fresh-cube-006,True,0,0,0,0,26097351,"{'initial_success': True, 'success': True, 'terminal_without_success': False, 'category': 'initial_success', 'primitive_steps': 0}",0.0084
cube,25,25,6,prefix_b,released_raw,ap-fresh-cube-006,True,0,0,0,0,26097351,"{'initial_success': True, 'success': True, 'terminal_without_success': False, 'category': 'initial_success', 'primitive_steps': 0}",0.0071
cube,25,25,7,clean,released_raw,ap-fresh-cube-007,False,25,1,150,45000,26098351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",6.4655
cube,25,25,7,prefix_a,released_raw,ap-fresh-cube-007,False,25,1,150,45000,26098351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.459
cube,25,25,7,prefix_b,released_raw,ap-fresh-cube-007,False,25,1,150,45000,26098351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.3611
cube,25,25,8,clean,released_raw,ap-fresh-cube-008,False,25,1,150,45000,26099351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",5.9805
cube,25,25,8,prefix_a,released_raw,ap-fresh-cube-008,False,25,1,150,45000,26099351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.568
cube,25,25,8,prefix_b,released_raw,ap-fresh-cube-008,False,25,1,150,45000,26099351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.5552
cube,25,25,9,clean,released_raw,ap-fresh-cube-009,False,25,1,150,45000,26100351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",5.5341
cube,25,25,9,prefix_a,released_raw,ap-fresh-cube-009,False,25,1,150,45000,26100351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.5347
cube,25,25,9,prefix_b,released_raw,ap-fresh-cube-009,False,25,1,150,45000,26100351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.111
cube,25,25,10,clean,released_raw,ap-fresh-cube-010,False,25,1,150,45000,26101351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",5.7866
cube,25,25,10,prefix_a,released_raw,ap-fresh-cube-010,False,25,1,150,45000,26101351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.6939
cube,25,25,10,prefix_b,released_raw,ap-fresh-cube-010,False,25,1,150,45000,26101351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.8401
cube,25,25,11,clean,released_raw,ap-fresh-cube-011,False,25,1,150,45000,26102351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",5.9602
cube,25,25,11,prefix_a,released_raw,ap-fresh-cube-011,False,25,1,150,45000,26102351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.2164
cube,25,25,11,prefix_b,released_raw,ap-fresh-cube-011,False,25,1,150,45000,26102351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.8438
cube,25,25,12,clean,released_raw,ap-fresh-cube-012,False,25,1,150,45000,26103351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",6.1935
cube,25,25,12,prefix_a,released_raw,ap-fresh-cube-012,False,25,1,150,45000,26103351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.8517
cube,25,25,12,prefix_b,released_raw,ap-fresh-cube-012,True,6,1,150,45000,26103351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.8047
cube,25,25,13,clean,released_raw,ap-fresh-cube-013,False,25,1,150,45000,26104351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",6.0296
