task,query_ordinal,states_checked,stored_success,paper_rescored_success,released_predicate_success,paper_matches_record,per_state_predicate_disagreements,initial_success
cube,0,26,False,False,False,True,0,False
cube,1,26,False,False,False,True,0,False
cube,2,26,False,False,False,True,0,False
cube,3,1,True,True,True,True,0,True
cube,4,17,True,True,True,True,0,False
cube,5,26,True,True,True,True,0,False
cube,6,1,True,True,True,True,0,True
cube,7,26,False,False,False,True,0,False
cube,8,26,False,False,False,True,0,False
cube,9,26,False,False,False,True,0,False
cube,10,26,False,False,False,True,0,False
cube,11,26,False,False,False,True,0,False
cube,12,26,False,False,False,True,0,False
cube,13,26,False,False,False,True,0,False
cube,14,26,False,False,False,True,0,False
cube,15,26,False,False,False,True,0,False
cube,16,26,False,False,False,True,0,False
cube,17,26,False,False,False,True,0,False
cube,18,26,False,False,False,True,0,False
cube,19,26,False,False,False,True,0,False
cube,20,1,True,True,True,True,0,True
cube,21,26,False,False,False,True,0,False
cube,22,26,False,False,False,True,0,False
cube,23,1,True,True,True,True,0,True
cube,24,26,False,False,False,True,0,False
cube,25,24,True,True,True,True,0,False
cube,26,26,False,False,False,True,0,False
cube,27,26,False,False,False,True,0,False
cube,28,26,False,False,False,True,0,False
cube,29,26,False,False,False,True,0,False
cube,30,1,True,True,True,True,0,True
cube,31,26,False,False,False,True,0,False
cube,32,26,False,False,False,True,0,False
cube,33,13,True,True,True,True,0,False
cube,34,26,False,False,False,True,0,False
cube,35,26,False,False,False,True,0,False
cube,36,26,False,False,False,True,0,False
cube,37,26,False,False,False,True,0,False
cube,38,26,False,False,False,True,0,False
cube,39,1,True,True,True,True,0,True
cube,40,26,False,False,False,True,0,False
cube,41,26,False,False,False,True,0,False
cube,42,11,True,True,True,True,0,False
cube,43,26,False,False,False,True,0,False
cube,44,26,False,False,False,True,0,False
cube,45,26,False,False,False,True,0,False
cube,46,26,False,False,False,True,0,False
cube,47,26,False,False,False,True,0,False
cube,48,1,True,True,True,True,0,True
cube,49,1,True,True,True,True,0,True
cube,50,26,False,False,False,True,0,False
cube,51,20,True,True,True,True,0,False
cube,52,26,False,False,False,True,0,False
cube,53,1,True,True,True,True,0,True
cube,54,26,False,False,False,True,0,False
cube,55,26,False,False,False,True,0,False
cube,56,1,True,True,True,True,0,True
cube,57,1,True,True,True,True,0,True
cube,58,1,True,True,True,True,0,True
cube,59,26,False,False,False,True,0,False
cube,60,26,False,False,False,True,0,False
cube,61,1,True,True,True,True,0,True
cube,62,26,False,False,False,True,0,False
cube,63,26,False,False,False,True,0,False
cube,64,23,True,True,True,True,0,False
cube,65,26,False,False,False,True,0,False
cube,66,26,False,False,False,True,0,False
cube,67,26,False,False,False,True,0,False
cube,68,26,False,False,False,True,0,False
cube,69,1,True,True,True,True,0,True
cube,70,26,False,False,False,True,0,False
cube,71,26,False,False,False,True,0,False
cube,72,26,False,False,False,True,0,False
cube,73,24,True,True,True,True,0,False
cube,74,26,False,False,False,True,0,False
cube,75,26,False,False,False,True,0,False
cube,76,26,False,False,False,True,0,False
cube,77,26,False,False,False,True,0,False
cube,78,17,True,True,True,True,0,False
cube,79,26,False,False,False,True,0,False
cube,80,26,False,False,False,True,0,False
cube,81,1,True,True,True,True,0,True
cube,82,1,True,True,True,True,0,True
cube,83,26,True,True,True,True,0,False
cube,84,1,True,True,True,True,0,True
cube,85,1,True,True,True,True,0,True
cube,86,26,False,False,False,True,0,False
cube,87,1,True,True,True,True,0,True
cube,88,26,False,False,False,True,0,False
cube,89,26,False,False,False,True,0,False
cube,90,26,False,False,False,True,0,False
cube,91,26,False,False,False,True,0,False
cube,92,26,False,False,False,True,0,False
cube,93,1,True,True,True,True,0,True
cube,94,24,True,True,True,True,0,False
cube,95,1,True,True,True,True,0,True
cube,96,26,False,False,False,True,0,False
cube,97,26,False,False,False,True,0,False
cube,98,26,False,False,False,True,0,False
cube,99,26,False,False,False,True,0,False
cube,100,26,False,False,False,True,0,False
cube,101,26,False,False,False,True,0,False
cube,102,26,False,False,False,True,0,False
cube,103,26,False,False,False,True,0,False
cube,104,19,True,True,True,True,0,False
cube,105,1,True,True,True,True,0,True
cube,106,19,True,True,True,True,0,False
cube,107,26,False,False,False,True,0,False
cube,108,26,False,False,False,True,0,False
cube,109,18,True,True,True,True,0,False
cube,110,26,False,False,False,True,0,False
cube,111,26,False,False,False,True,0,False
cube,112,26,False,False,False,True,0,False
cube,113,1,True,True,True,True,0,True
cube,114,21,True,True,True,True,0,False
cube,115,26,False,False,False,True,0,False
cube,116,26,False,False,False,True,0,False
cube,117,26,False,False,False,True,0,False
cube,118,26,False,False,False,True,0,False
cube,119,26,False,False,False,True,0,False
cube,120,24,True,True,True,True,0,False
cube,121,1,True,True,True,True,0,True
cube,122,1,True,True,True,True,0,True
cube,123,26,False,False,False,True,0,False
cube,124,26,False,False,False,True,0,False
cube,125,26,False,False,False,True,0,False
cube,126,26,False,False,False,True,0,False
cube,127,26,False,False,False,True,0,False
pusht,0,26,True,True,True,True,0,False
pusht,1,51,False,False,False,True,0,False
pusht,2,51,False,False,False,True,0,False
pusht,3,26,True,True,True,True,0,False
pusht,4,51,False,False,False,True,0,False
pusht,5,25,True,True,True,True,0,False
pusht,6,26,True,True,True,True,0,False
pusht,7,51,False,False,False,True,0,False
pusht,8,51,False,False,False,True,0,False
pusht,9,51,False,False,False,True,0,False
pusht,10,25,True,True,True,True,0,False
pusht,11,25,True,True,True,True,0,False
pusht,12,51,False,False,False,True,0,False
pusht,13,51,True,True,True,True,0,False
pusht,14,27,True,True,True,True,0,False
pusht,15,26,True,True,True,True,0,False
pusht,16,25,True,True,True,True,0,False
pusht,17,27,True,True,True,True,0,False
pusht,18,26,True,True,True,True,0,False
pusht,19,51,False,False,False,True,0,False
pusht,20,25,True,True,True,True,0,False
pusht,21,50,True,True,True,True,0,False
pusht,22,51,False,False,False,True,0,False
pusht,23,25,True,True,True,True,0,False
pusht,24,26,True,True,True,True,0,False
pusht,25,51,False,False,False,True,0,False
pusht,26,51,True,True,True,True,0,False
pusht,27,26,True,True,True,True,0,False
pusht,28,51,False,False,False,True,0,False
pusht,29,51,False,False,False,True,0,False
pusht,30,26,True,True,True,True,0,False
pusht,31,51,False,False,False,True,0,False
pusht,32,51,False,False,False,True,0,False
pusht,33,51,False,False,False,True,0,False
pusht,34,50,True,True,True,True,0,False
pusht,35,26,True,True,True,True,0,False
pusht,36,51,False,False,False,True,0,False
pusht,37,25,True,True,True,True,0,False
pusht,38,50,True,True,True,True,0,False
pusht,39,51,False,False,False,True,0,False
pusht,40,28,True,True,True,True,0,False
pusht,41,51,False,False,False,True,0,False
pusht,42,50,True,True,True,True,0,False
pusht,43,51,False,False,False,True,0,False
pusht,44,26,True,True,True,True,0,False
pusht,45,51,False,False,False,True,0,False
pusht,46,51,False,False,False,True,0,False
pusht,47,26,True,True,True,True,0,False
pusht,48,27,True,True,True,True,0,False
pusht,49,24,True,True,True,True,0,False
pusht,50,26,True,True,True,True,0,False
pusht,51,25,True,True,True,True,0,False
pusht,52,27,True,True,True,True,0,False
pusht,53,51,False,False,False,True,0,False
pusht,54,26,True,True,True,True,0,False
pusht,55,25,True,True,True,True,0,False
pusht,56,51,False,False,False,True,0,False
pusht,57,51,False,False,False,True,0,False
pusht,58,29,True,True,True,True,0,False
pusht,59,51,False,False,False,True,0,False
pusht,60,25,True,True,True,True,0,False
pusht,61,25,True,True,True,True,0,False
pusht,62,26,True,True,True,True,0,False
pusht,63,51,False,False,False,True,0,False
pusht,64,29,True,True,True,True,0,False
pusht,65,24,True,True,True,True,0,False
pusht,66,26,True,True,True,True,0,False
pusht,67,25,True,True,True,True,0,False
pusht,68,51,False,False,False,True,0,False
pusht,69,50,True,True,True,True,0,False
pusht,70,24,True,True,True,True,0,False
pusht,71,51,False,False,False,True,0,False
pusht,72,25,True,True,True,True,0,False
pusht,73,51,False,False,False,True,0,False
pusht,74,26,True,True,True,True,0,False
pusht,75,26,True,True,True,True,0,False
pusht,76,24,True,True,True,True,0,False
pusht,77,25,True,True,True,True,0,False
pusht,78,51,False,False,False,True,0,False
pusht,79,51,False,False,False,True,0,False
pusht,80,51,False,False,False,True,0,False
pusht,81,49,True,True,True,True,0,False
pusht,82,24,True,True,True,True,0,False
pusht,83,51,False,False,False,True,0,False
pusht,84,51,False,False,False,True,0,False
pusht,85,51,False,False,False,True,0,False
pusht,86,51,False,False,False,True,0,False
pusht,87,25,True,True,True,True,0,False
pusht,88,51,False,False,False,True,0,False
pusht,89,26,True,True,True,True,0,False
pusht,90,51,False,False,False,True,0,False
pusht,91,26,True,True,True,True,0,False
pusht,92,27,True,True,True,True,0,False
pusht,93,51,True,True,True,True,0,False
pusht,94,26,True,True,True,True,0,False
pusht,95,51,False,False,False,True,0,False
pusht,96,26,True,True,True,True,0,False
pusht,97,24,True,True,True,True,0,False
pusht,98,26,True,True,True,True,0,False
pusht,99,24,True,True,True,True,0,False
pusht,100,25,True,True,True,True,0,False
pusht,101,26,True,True,True,True,0,False
pusht,102,25,True,True,True,True,0,False
pusht,103,51,False,False,False,True,0,False
pusht,104,25,True,True,True,True,0,False
pusht,105,51,False,False,False,True,0,False
pusht,106,51,False,False,False,True,0,False
pusht,107,51,False,False,False,True,0,False
pusht,108,26,True,True,True,True,0,False
pusht,109,25,True,True,True,True,0,False
pusht,110,26,True,True,True,True,0,False
pusht,111,51,False,False,False,True,0,False
pusht,112,51,False,False,False,True,0,False
pusht,113,51,False,False,False,True,0,False
pusht,114,51,False,False,False,True,0,False
pusht,115,51,True,True,True,True,0,False
pusht,116,27,True,True,True,True,0,False
pusht,117,50,True,True,True,True,0,False
pusht,118,24,True,True,True,True,0,False
pusht,119,51,False,False,False,True,0,False
pusht,120,26,True,True,True,True,0,False
pusht,121,51,True,True,True,True,0,False
pusht,122,25,True,True,True,True,0,False
pusht,123,51,True,True,True,True,0,False
pusht,124,51,False,False,False,True,0,False
pusht,125,23,True,True,True,True,0,False
pusht,126,25,True,True,True,True,0,False
pusht,127,51,False,False,False,True,0,False
reacher,0,22,True,True,True,True,0,False
reacher,1,35,True,True,True,True,0,False
reacher,2,21,True,True,True,True,0,False
reacher,3,24,True,True,True,True,0,False
reacher,4,26,True,True,True,True,0,False
reacher,5,51,False,False,False,True,0,False
reacher,6,33,True,True,True,True,0,False
reacher,7,51,False,False,False,True,0,False
reacher,8,29,True,True,True,True,0,False
reacher,9,28,True,True,True,True,0,False
reacher,10,51,False,False,False,True,0,False
reacher,11,51,False,False,False,True,0,False
reacher,12,51,False,False,False,True,0,False
reacher,13,51,False,False,False,True,0,False
reacher,14,24,True,True,True,True,0,False
reacher,15,25,True,True,True,True,0,False
reacher,16,18,True,True,True,True,0,False
reacher,17,32,True,True,True,True,0,False
reacher,18,10,True,True,True,True,0,False
reacher,19,17,True,True,True,True,0,False
reacher,20,51,False,False,False,True,0,False
reacher,21,26,True,True,True,True,0,False
reacher,22,27,True,True,True,True,0,False
reacher,23,22,True,True,True,True,0,False
reacher,24,25,True,True,True,True,0,False
reacher,25,51,False,False,False,True,0,False
reacher,26,48,True,True,True,True,0,False
reacher,27,18,True,True,True,True,0,False
reacher,28,51,False,False,False,True,0,False
reacher,29,17,True,True,True,True,0,False
reacher,30,21,True,True,True,True,0,False
reacher,31,27,True,True,True,True,0,False
reacher,32,11,True,True,True,True,0,False
reacher,33,51,False,False,False,True,0,False
reacher,34,33,True,True,True,True,0,False
reacher,35,24,True,True,True,True,0,False
reacher,36,13,True,True,True,True,0,False
reacher,37,51,False,False,False,True,0,False
reacher,38,50,True,True,True,True,0,False
reacher,39,51,False,False,False,True,0,False
reacher,40,26,True,True,True,True,0,False
reacher,41,32,True,True,True,True,0,False
reacher,42,14,True,True,True,True,0,False
reacher,43,12,True,True,True,True,0,False
reacher,44,51,False,False,False,True,0,False
reacher,45,23,True,True,True,True,0,False
reacher,46,51,False,False,False,True,0,False
reacher,47,31,True,True,True,True,0,False
reacher,48,51,False,False,False,True,0,False
reacher,49,50,True,True,True,True,0,False
reacher,50,51,False,False,False,True,0,False
reacher,51,20,True,True,True,True,0,False
reacher,52,26,True,True,True,True,0,False
reacher,53,51,False,False,False,True,0,False
reacher,54,32,True,True,True,True,0,False
reacher,55,51,True,True,True,True,0,False
reacher,56,24,True,True,True,True,0,False
reacher,57,48,True,True,True,True,0,False
reacher,58,27,True,True,True,True,0,False
reacher,59,26,True,True,True,True,0,False
reacher,60,51,False,False,False,True,0,False
reacher,61,18,True,True,True,True,0,False
reacher,62,51,False,False,False,True,0,False
reacher,63,5,True,True,True,True,0,False
reacher,64,26,True,True,True,True,0,False
reacher,65,51,False,False,False,True,0,False
reacher,66,51,False,False,False,True,0,False
reacher,67,51,False,False,False,True,0,False
reacher,68,51,False,False,False,True,0,False
reacher,69,44,True,True,True,True,0,False
reacher,70,25,True,True,True,True,0,False
reacher,71,51,False,False,False,True,0,False
reacher,72,51,False,False,False,True,0,False
reacher,73,50,True,True,True,True,0,False
reacher,74,51,False,False,False,True,0,False
reacher,75,51,False,False,False,True,0,False
reacher,76,27,True,True,True,True,0,False
reacher,77,26,True,True,True,True,0,False
reacher,78,26,True,True,True,True,0,False
reacher,79,51,False,False,False,True,0,False
reacher,80,21,True,True,True,True,0,False
